score,bedrijf,domein,vacature,vacature_datum,plaats,producten,markten,cs_tools,review_tools,reviewscore,reviewoordeel,openingstijden,reactiebelofte,email,telefoon,kvk,postcode,signalen,vacature_url,klasse,klassereden
19,Cloudpillo,cloudpillo.com,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,19,12,gorgias,trustpilot|trustedshops,4.5,sterk,Ma–vr 10:00–16:00,binnen 1 uur,support@cloudpillo.nl,+31 73 704 4350,,5232 BX,Shopify; betaalt voor gorgias; 12 markten; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 1 uur; zoekt klantcontact: Klantenservice Medewerker - Duits / Enge; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,A,
15,BOSKA Food Tools,boska.com,Medewerker klantenservice,2026-09-14,Bodegraven,379,5,,judgeme,,,maandag t/m vrijdag van 08.30 - 17.00,binnen 48 uur,support@boska.com,010-4265331,,,Shopify; 379 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 48 uur; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,A,
14,Satechi,satechi.com,Order Fulfillment Specialist,2026-08-24,Nederland,141,3,hubspot,trustpilot,,,,,,,,,Shopify; betaalt voor hubspot; 141 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Order Fulfillment Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/order-fulfillment-specialist-at-satechi-4458531021,A,
14,STOX Energy Socks,stoxenergy.com,Customer Service Specialist,2026-09-04,Amsterdam,246,23,whatsapp,trustpilot|trustedshops,,,,,support@stoxenergy.com,,,1076DE,Shopify; 23 markten; 246 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,A,
13,Paul Roescher,paulroescher.nl,Medewerker Service Desk,2026-08-05,Rijssen,951,,,klantenvertellen,,,,Binnen 2 werkdagen,info@paulroescher.nl,055 360 1747,,,Shopify; 951 artikelen; eigen reviewplatform; belofte: Binnen 2 werkdagen; zoekt klantcontact: Medewerker Service Desk; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-service-desk-at-paul-roescher-4448995292,A,
13,Zitmaxx Wonen,zitmaxx.nl,Klantenservice Medewerker,2026-07-09,Ter Aar,,,tawk|whatsapp,trustpilot,,,Maandag 09:30-17:30,,verkoop@zitmaxx.nl,0467555605,59200359,2461 EX,magento; betaalt voor tawk; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-zitmaxx-wonen-4438588826,A,
13,Pricewise,pricewise.nl,CRM &amp; Customer Data Specialist,2026-09-11,Amsterdam Area,,,chatgpt-bot,trustpilot,,,"maandag t/m vrijdag, 9:00 – 16:30",,naam@e-mail.nl,,,1043 AJ,betaalt voor chatgpt-bot; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden; zoekt klantcontact: CRM &amp; Customer Data Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/crm-customer-data-specialist-at-pricewise-4464887401,AF,vergelijkingssite
12,Giga Meubel,gigameubel.nl,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,,,whatsapp,kiyoh,8.6,sterk,Maandag 13:00-17:30,binnen 24 uur,info@gigameubel.nl,00 0358796,,3824 MJ,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur; zoekt klantcontact: Klantenservice medewerker 32-40 uur; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,A,
11,123inkt.nl,123inkt.nl,Klantenservice Medewerker,2026-09-16,Veenendaal,,3,freshdesk,kiyoh,9.3,sterk,maandag (voor 23:59 uur) dinsdag dinsdag (voor 23:59,,klantenservice@123inkt.nl,,,1394 PC,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,A,
11,123schoon.nl,123schoon.nl,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,,,freshdesk,kiyoh,9.1,sterk,,,info@123schoon.nl,,,1329 AK,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,A,
11,DeJong Cheese - Alphenaer,dejongcheese.nl,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),2026-07-21,Alphen,,4,hubspot,,,,,,info@dejongcheese.nl,,18049181,5131 RC,woocommerce; betaalt voor hubspot; b2b naast d2c; geen telefoonlijn gevonden; zoekt klantcontact: Medewerker Customer Service met een focu; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-customer-service-met-een-focus-op-planning-en-of-inkoop-40-uur-at-dejong-cheese-alphenaer-4440454450,A,
11,Goldbergh,goldbergh.com,Email &amp; CRM Marketeer,2026-08-27,Amsterdam,249,13,gorgias,trustpilot,,,,,webshop@goldbergh.com,,,,Shopify; betaalt voor gorgias; 13 markten; 249 artikelen; eigen reviewplatform; b2b naast d2c; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/email-crm-marketeer-at-goldbergh-4459803918,A,
11,Kemkens,kemkens.nl,Klantadviseur,2026-07-02,Oss,,,chatgpt-bot,,8.4,gemiddeld,maandag t/m vrijdag van 8.00 – 19.00,binnen 1 werkdag,klantenservice@kemkens.nl,088-5050309,,,woocommerce; betaalt voor chatgpt-bot; belofte: binnen 1 werkdag; zoekt klantcontact: Klantadviseur; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantadviseur-at-kemkens-4436159337,AF,installatiebedrijf
11,Zelesta,zelesta.nl,E-commerce Specialist,2026-09-21,Soesterberg,768,27,,trustpilot|judgeme,,,Ma-Vr | 09:00-17:30,binnen 24 uur,info@zelesta.nl,+31 10 793 4008,,,Shopify; 27 markten; 768 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,A,
10,Chane,shopswellophonic.com,IT Service Desk Medewerker,2026-09-04,Rotterdam,995,,,,,,,,,,,,Shopify; 995 artikelen; geen telefoonlijn gevonden; zoekt klantcontact: IT Service Desk Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,AF,onduidelijk merk
10,Ledhandel24.nl,ledhandel24.nl,Klantenservice medewerker (24 uur),2026-08-05,Ter Apel,,,,trustedshops,,,maandag t/m vrijdag van 9.00-12.00,,,+31611204496,,3026GS,woocommerce; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice medewerker (24 uur); vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-24-uur-at-ledhandel24-nl-4449477460,A,
10,Impermo,impermo.nl,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",,6,,trustpilot,,,,,,,,,6 markten; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Care Professional; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,A,
10,Zero Friction,zerofriction.com,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",64,,,judgeme,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service and Operations Agent NL; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,A,
10,Bouwmaat,bouwmaat.nl,Medewerker Logistiek,2026-07-07,Hilversum,250,6,,trustpilot,,,Ma-Vrij: 09:00 - 17:00,binnen 2 uur,klantenservice@bouwmaat.nl,033-2992889,,3600 VB,Shopify; 6 markten; 250 artikelen; eigen reviewplatform; b2b naast d2c; desk dicht voor de avond; belofte: binnen 2 uur,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-bouwmaat-4436581659,AF,bouwmarktketen
9,Onlineverf.nl,onlineverf.nl,Medewerker klantenservice,2026-09-11,Hengelo,,3,whatsapp,trustpilot|trustedshops,,,Maandag t/m vrijdag: 09:30 - 17:00,,klantenservice@onlineverf.nl,085-112 02 02,,,eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,A,
9,Shop4trac,shop4trac.com,Stage Marketing / Content / Social Media,2026-09-01,Amsterdam,,8,intercom,feedbackcompany,9.2,sterk,"Maandag t/m zondag, 24 uur per dag Telefoon 09:00 - 17:00",,,,72200987,1502RD,woocommerce; betaalt voor intercom; 8 markten; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/stage-marketing-content-social-media-at-shop4trac-4462066724,AF,b2b
9,Snowcountry,snowcountry.nl,Logistiek Medewerker - Fulltime in Amersfoort,2026-07-24,Amersfoort,,21,zendesk,trustpilot,,,maandag t/m vrijdag van 09:00 tot 22:00,binnen 24 uur,,0148134750,,,magento; betaalt voor zendesk; 21 markten; eigen reviewplatform; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/logistiek-medewerker-fulltime-in-amersfoort-at-snowcountry-4444924601,AF,reseller van andermans merken
9,Dustin,dustin.be,Customer Service Representative,2026-09-08,"Rotselaar, Vlaanderen, België",,2,zendesk|chatgpt-bot,,,,,,sales@dustin.be,,,,betaalt voor zendesk/chatgpt-bot; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service Representative; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-service-representative-at-dustin-4464660222,AF,IT-reseller
9,Mobile Water,mobilewater.nl,Customer Innovation Specialist – Marketing &amp; Technology,2026-09-14,Breda,,4,chatgpt-bot,,,,,,info@mobilewater.nl,085-0607041,52540979,4811 CA,woocommerce; betaalt voor chatgpt-bot; zoekt klantcontact: Customer Innovation Specialist – Marketi; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-innovation-specialist-%E2%80%93-marketing-technology-at-mobile-water-4467056885,AF,industrie b2b
9,MyParcel,myparcel.nl,Customer Solutions Manager,2026-09-15,Hoofddorp,,2,whatsapp,trustpilot,,,Ma-do van 08.00 tot 18.30,,,,,0000FF,woocommerce; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Solutions Manager; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-solutions-manager-at-myparcel-4467493526,AF,verzendsoftware
9,VOIPZeker,voipzeker.nl,Sales &amp; Customer Success Medewerker,2026-09-16,Den Haag,,,intercom,,9.6,sterk,,,,088 066 0550,,2171 TR,woocommerce; betaalt voor intercom; zoekt klantcontact: Sales &amp; Customer Success Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/sales-customer-success-medewerker-at-voipzeker-4468218269,AF,telefonie
8,CAVALLARO NAPOLI,cavallaronapoli.com,Online Merchandiser,2026-09-08,Haarlem,,5,intercom|whatsapp,trustedshops,,,Maandag t/m Vrijdag van 09:00 - 17:00,binnen 2 uur,,0159126614,,1071 BM,magento; betaalt voor intercom; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur,https://nl.linkedin.com/jobs/view/online-merchandiser-at-cavallaro-napoli-4452705820,A,
8,Knivesandtools,knivesandtools.nl,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,Apeldoorn,,,,trustedshops,,,,,,,,,eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice medewerker e-commerce Ape; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-apeldoorn-32-40-uur-at-knivesandtools-4441984192,AF,reseller van andermans merken
8,SRS,srs.nl,Retail Support Agent,2025-09-29,Almere,,,zendesk,,,,,,info@srs.nl,,,1322 CG,woocommerce; betaalt voor zendesk; geen telefoonlijn gevonden; zoekt klantcontact: Retail Support Agent,https://nl.linkedin.com/jobs/view/retail-support-agent-at-srs-4305383527,AF,dienstverlener
8,Proforto®,proforto.nl,Logistiek Medewerker bij Proforto,2026-06-23,Oosterhout,,3,trengo|whatsapp,trustpilot|yotpo,,,Maandag tot en met donderdag van 09:00 tot 22:00,binnen 24 uur,klantenservice@proforto.nl,+31 24 808 2166,62922351,6541CW,magento; betaalt voor trengo; eigen reviewplatform; vierdaagse week; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/logistiek-medewerker-bij-proforto-at-proforto%C2%AE-4431235377,A,
8,Drunens Ruiterhuis,drunensruiterhuis.nl,Allround Klantenservice &amp; Administratie medewerker bij Drunens Ruiterhuis - fulltime,2026-09-22,Drunen,,,whatsapp,kiyoh,,,"Maandag: Gesloten, Dinsdag 09:00u - 18:00",,,+31 650291326,18130789,2026 HV,magento; eigen reviewplatform; zoekt klantcontact: Allround Klantenservice &amp; Administra; vacature staat nog open,https://nl.linkedin.com/jobs/view/allround-klantenservice-administratie-medewerker-bij-drunens-ruiterhuis-fulltime-at-drunens-ruiterhuis-4470418764,A,
8,Loopper.com,loopper.com,Sales Binnendienst / Junior Accountmanager,2026-09-16,Amsterdam,,15,,trustpilot|kiyoh,9.3,sterk,"ma-vr, 09:00-17:30",binnen 1 uur,promo@loopper.com,0 4576 5960,,,15 markten; eigen reviewplatform; b2b naast d2c; desk dicht voor de avond; belofte: binnen 1 uur,https://nl.linkedin.com/jobs/view/sales-binnendienst-junior-accountmanager-at-loopper-com-4468204148,AF,b2b
8,Wibra,wibra.nl,Inkoopassistent,2026-09-07,Epe,,,zendesk,trustpilot,4.6,sterk,,binnen 3 werkdagen,klantenservice@wibra.nl,,,,woocommerce; betaalt voor zendesk; eigen reviewplatform; b2b naast d2c; belofte: binnen 3 werkdagen; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/inkoopassistent-at-wibra-4464305628,AF,winkelketen
8,Zolemba B.V.,zolemba.nl,Customer Service Medewerker,2026-08-04,Haaksbergen,,26,,,,,,,service@zolemba.nl,+31 53 737 0160,,7482 GZ,26 markten; zoekt klantcontact: Customer Service Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-zolemba-b-v-4448556738,AF,b2b
7,Cartouche Fashion,cartouchefashion.com,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,Bodegraven,300,8,,,,,,binnen 2 werkdagen,webshop@cartouchefashion.com,,,,Shopify; 8 markten; 300 artikelen; belofte: binnen 2 werkdagen; geen telefoonlijn gevonden,,A,
7,Baktotaal,baktotaal.nl,Online marketeer Duits,2026-09-11,Goor,,8,,feedbackcompany,,,maandag t/m vrijdag van 09:00 tot 16:30,,,,54072905,7472 DD,magento; 8 markten; eigen reviewplatform; b2b naast d2c; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,A,
7,Dutch Jerky,dutchjerky.com,Customer &amp; Content Guru,2026-09-18,Mierlo,,,klaviyo-chat,trustpilot,9.6,sterk,ma-za 10:00-17:00,,info@dutchjerky.com,,94108722,6981 DL,woocommerce; betaalt voor klaviyo-chat; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/customer-content-guru-at-dutch-jerky-4467862824,A,
7,O My Bag Amsterdam,omybagamsterdam.com,Operations Lead,2026-09-09,Amsterdam,519,9,,judgeme|yotpo,,,,,,,69094527,1072 GA,Shopify; 9 markten; 519 artikelen; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/operations-lead-at-o-my-bag-amsterdam-4464991556,A,
7,CoolSafety,coolsafety.nl,Brand Marketeer,2026-09-22,Leusden,,,chatgpt-bot,trustpilot|kiyoh,,,,Binnen 24 uur,info@coolsafety.nl,,,,woocommerce; betaalt voor chatgpt-bot; eigen reviewplatform; belofte: Binnen 24 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/brand-marketeer-at-coolsafety-4470280362,AF,b2b
7,Snackpilot,snackpilot.nl,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,Nederland,65,183,zendesk,,,,,,,,,,Shopify; betaalt voor zendesk; 183 markten; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/sales-representative-m-f-d-full-time-or-part-time-remote-at-snackpilot-4456505809,A,
6,AVR,avr.nl,Sales Support Medewerker,2026-08-17,Rozenburg,,,,,,,,binnen 5 werkdagen,lars@bureauwalder.nl,,,,woocommerce; te weinig volumebewijs voor de band; belofte: binnen 5 werkdagen; geen telefoonlijn gevonden; zoekt klantcontact: Sales Support Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,AF,afvalverwerker
6,Hart Beach,hartbeach.nl,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,249,4,zendesk,kiyoh,,,Maandag: 12:00 - 18:00,,shop@hartbeach.nl,070-3502591,,2583 DL,Shopify; betaalt voor zendesk; 249 artikelen; eigen reviewplatform,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,A,
6,BONO,bono.nl,Media Buyer (META) | Paid Social Specialist,2026-08-31,Amsterdam Area,,,intercom,trustedshops,4.86582,sterk,,,,,74636391,1511MA,Shopify; betaalt voor intercom; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,A,
6,Detailrs,detailrs.nl,E-commerce &amp; UX Lead,2026-08-31,Oss,87,3,,trustpilot|judgeme,4.8,sterk,Ma-Vrij 09:00-17:00,binnen 24 uur,hello@detailrs.nl,085 800 0647,,,Shopify; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/e-commerce-ux-lead-at-detailrs-4434440735,A,
6,Eve Curls,evecurls.nl,COO Fast Growing DTC/CPG Brand,2026-09-21,Nederland,15,33,,trustpilot,,,,,support@evecurls.com,,,,Shopify; 33 markten; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,A,
6,Superyoga,superyoga.nl,Social Media &amp; Performance Marketeer,2026-09-01,Amstelveen,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,9.6,sterk,,binnen 24 uur,,,95427309,1181NB,betaalt voor chatgpt-bot; eigen reviewplatform; belofte: binnen 24 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/social-media-performance-marketeer-at-superyoga-4461705564,A,
