bedrijf,kop,tekst,bron
Baktotaal,Meer dan twaalfduizend vijfhonderd bakproducten op voorraad,"Dat staat op jullie eigen pagina over het bedrijf. Bij een assortiment van die breedte gaat de meeste post over de keuze en niet over de bestelling: welke maat, welk merk, wat is het verschil. Die vragen komen binnen voordat er iets besteld is.","baktotaal.nl/klantenservice/over-ons, citaat 'Met meer dan 12.500 bakproducten op voorraad'"
Zitmaxx Wonen,Een woonwinkel van vijftienduizend vierkante meter,"Dat getal staat boven aan jullie eigen site, naast ruim vierentwintigduizend beoordelingen. Een klant die in de winkel is geweest en daarna online iets vraagt, stelt die vraag aan Zitmaxx en niet aan een kanaal. Die twee stromen komen bij elkaar.","zitmaxx.nl, '15000 m2 Woonwinkel' en '24392 reviews'"
Impermo,Zestien toonzalen in Belgie,"Ze staan met naam en al op jullie showroompagina, van Oostende tot Aarlen. Elke toonzaal stuurt vragen door die daar niet beantwoord zijn, en die komen samen op een plek terecht.","impermo.nl/nl/showrooms, zestien vestigingen opgesomd"
Voomy,Meer dan vierhonderdduizend klanten,"Dat aantal noemen jullie zelf op de site. Het staat naast een assortiment dat in een paar minuten door te bladeren is, en dat verschil is precies waar het interessant wordt: weinig artikelen, heel veel mensen die er iets over vragen.","voomy.com, citaat 'meer dan 400.000+ tevreden klanten uit verschillende landen'"
Bestekshop.nl,Officieel dealer van zestien merken,"Van Alessi tot WMF, opgesomd op jullie eigen pagina. Elk merk brengt zijn eigen garantievoorwaarden, levertijden en serviceafspraken mee, en de klant die belt weet van dat onderscheid niets.","bestekshop.nl/over-bestekshop-nl, zestien merken opgesomd"
De Bouwhof,Een winkel van twintigduizend vierkante meter,"Met ruim vierhonderd parkeerplaatsen ervoor, allebei op jullie eigen pagina. Een winkel van die omvang stuurt de hele dag mensen naar de webshop en omgekeerd, en de vraag die daaruit komt belandt in dezelfde bak.","bouwhof.nl/de-bouwhof/over-de-bouwhof, '20.000 m2' en 'Ruim 400 gratis parkeerplaatsen'"
Dreambaby,Jullie producten liggen in meer dan honderd landen,"Dat staat in jullie eigen Engelstalige bedrijfsverhaal. Honderd landen betekent honderd sets regels over garantie en retour, en een ouder die iets vraagt weet niet welke van die honderd op hem van toepassing is.","dreambaby.com/pages/about-us, citaat 'Dreambaby products now available in more than 100 countries'"
Bamboosa,Vijfhonderdzestien mensen lieten een beoordeling achter,Dat aantal staat op jullie eigen pagina. Het zegt niets over de kwaliteit en daar gaat het me ook niet om. Het zegt dat er achter een klein assortiment een flinke stroom mensen zit die er iets van vond.,"bamboosa.nl/pages/over-ons, '4 / 5 (516 beoordelingen)' via Trustpilot"
Multivlaai,Vijfenvijftig vestigingen in Nederland,"Ze staan allemaal op jullie vestigingenpagina, van Assen tot Vlaardingen. Een bestelling die online binnenkomt wordt in een van die vijfenvijftig gebakken, en een vraag over die bestelling kan bij allebei terechtkomen.","multivlaai.nl/vestigingen, vijfenvijftig vestigingen opgesomd"
Goedhart Motoren,Meer dan een miljoen producten,"Dat aantal noemen jullie zelf, naast een showroom van drieduizend vierkante meter en ruim zevenhonderd motoren. Bij een onderdelencatalogus van die omvang gaat bijna elke vraag over of iets past, en dat is een vraag die iemand moet opzoeken.","goedhartmotoren.nl/winkel, '1 miljoen+ producten', '3.000 vierkante meter', '700+ nieuwe en gebruikte motoren'"
