bedrijf,domein,faseA_rang,beslisser,functie,beslisser_status,bron_beslisser,trigger,reviewsignaal,servicebelofte,onderzoekshoek,openstaand
Seepje,seepje.com,37,Jasper Gabrielse en Melvin Loggies,"oprichters, stappen uit dagelijkse leiding",GEVERIFIEERD,"MT/Sprout, RetailTrends, Change Inc. CEO wordt geworven via Top of Minds, Loggies blijft COO/CFO","Werven een CEO voor de volgende groeifase (RetailTrends: niet opnieuw tegen stagnatie aanlopen). 4,2 miljoen nieuwe financiering. Doel 25 miljoen omzet binnen 5 jaar. Vier jaar op rij 85 procent groei. 26 producten, 6.000 verkooppunten NL/BE/DE, 2,5 miljoen stuks per jaar, 12 markten sinds 2023",Reviews overwegend positief,"belofte binnen 24 uur, telefoon aanwezig, 64 producten in de feed",Stagnatie bij 6.000 verkooppunten en 12 markten zit in de uitvoering. Een nieuwe CEO herziet in maand een de kostenkant,"BENADER NU, voor de nieuwe CEO zijn eigen leveranciers meeneemt"
Sapph,sapph.com,25,,nieuw management na eigendomswissel,OPEN,"Vorige eigenaar UltraCool BV. Namen nieuw management nog te achterhalen, eerste actie",Radar (AVROTROS) publiceerde artikel over het aantal klachten. Merk overgegaan naar nieuwe eigenaar en nieuw management,"124 paginas Trustpilot. Klanten die juli 2024 bestelden wachtten eind juni 2025 nog op levering en terugbetaling, met loze beloftes via mail en WhatsApp over voorrang. Nieuw management erkent de frustratie en deelt tegoedbonnen uit. Kwaliteit van de lingerie zelf wordt goed genoemd","telefoon aanwezig, draait Gorgias, 230 producten in de feed",Nieuw management dat een beschadigd merk moet herbouwen. Ze kopen nu vertrouwen met tegoedbonnen terwijl het herstel zit in wel antwoorden,"MEEST URGENT van batch 4, venster sluit snel"
Wolplein,wolplein.nl,24,Petra Glimmerveen (oprichter/eigenaresse) en Koen Glimmerveen (dagelijkse leiding),oprichter en opvolger,GEVERIFIEERD,"MyParcel, De Haakhelden, Breiclub","Generatiewissel in familiebedrijf, zoon Koen nam dagelijkse leiding over. 55 medewerkers. Binnen drie jaar grootste online haak- en breiwinkel van NL. Zaltbommel, magazijn plus inspiratiecentrum","4 sterren over 634 Trustpilot-reviews, 2.382 op Trusted Shops, eigen Kiyoh-pagina. Lof voor eerlijk advies. Kritiek: klantenservice alleen 's ochtends bereikbaar. Bestellingen na een week niet binnen terwijl bedrag al is afgeschreven, mails onbeantwoord","telefoon aanwezig, WhatsApp open, 3000+ producten in de feed, 25 taalvarianten",Een winkel waar mensen komen voor advies bij een hobby met veel vragen. Dat advies is er 's middags niet,
Xtorm,xtorm.eu,34,,"Tim Schuurbiers is Head of Marketing en Product development, directie OPEN",OPEN,"Valt onder Telco Accessories B.V., opgericht 2008, gevestigd in Houten","Circa een miljoen producten per jaar, verkoop in 60+ landen, circa 8 miljoen omzet 2025. Voert twee merken: Xtorm en Gecko Covers","4 sterren. Lof voor garantieafhandeling, klant met defect na 2,5 jaar kreeg onder verlengde garantie kosteloos nieuwer model. Klachten over slechte communicatie rond retouren en productvragen met late of uitblijvende reacties","belofte binnen 48 uur, 11 taalvarianten, AI-chat, 2 jaar garantie uit te breiden naar 3 bij online registratie binnen 3 maanden",De garantieregistratie dwingt klanten binnen drie maanden tot een handeling en genereert dus een vragenstroom. Een miljoen producten in 60 landen bij 8 miljoen omzet betekent kleine orders en veel contactmomenten,
Eyelove Brillen,eyelovebrillen.nl,39,,,OPEN,,"Ruim 3.000 Trustpilot-reviews over 150+ paginas. Winkels in NL en BE: Aalsmeer, Hengelo, Bergschenhoek, Gorinchem, Grave, Merksem, Sint-Truiden, Diest","Team reageert actief op reviews als Klantenservice Eyelove en nodigt klanten uit naar een winkel. Positief over vriendelijk personeel, oogmetingen ter plekke, ruime keuze tegen scherpe prijzen. Kritiek over glaskwaliteit en juistheid van de sterkte","ma t/m vr 8:30-18:00, WhatsApp open, geen telefoonnummer in beeld",Brillen op sterkte online betekent dat elke twijfel over een sterkte een gesprek is. Zelf reageren op 3.000 reviews is een dagtaak,
Rosefield,rosefieldwatches.com,21,,,OPEN,"Rosefield Watches B.V., opgericht 2014, H.J.E. Wenckebachweg 133, 1096 AM Amsterdam (Creditsafe)","Circa 2.360 Trustpilot-reviews plus 2.296 op Judge.me met gemiddelde 4,9. 14 taalvarianten, 545 producten in de feed","Overwegend positief, klantenservice vlot en behulpzaam. Terugkerende klacht over beperkte contactmogelijkheden, een deel noemt de service ronduit slecht",geen telefoonnummer op de site,"Bijna vijfduizend beoordelingen op twee platforms en de enige weg naar het bedrijf is een formulier. Bij horloges gaat het over batterijen, bandjes, garantie en cadeaus die op tijd moeten aankomen",
Muchachomalo,muchachomalo.com,33,,,OPEN,,"Trustpilot loopt door tot boven de 300 paginas, 1.671 reviews genoemd. 1.725 producten in de feed","Overwegend positief over kwaliteit, pasvorm en snelle levering. Klachten over verkeerde leveringen, orders zonder duidelijke reden geannuleerd, kortingscodes die niet werken en ontbrekende artikelen","ma t/m vr 09:00-18:00, geen telefoonnummer, retour 30 dagen met directe omruil naar andere maat zonder bijbetaling",De omruilconstructie is klantvriendelijk bedacht en levert daarom veel handwerk op. Elke omruil is een handeling,
Loavies,loavies.com,31,"Anna Meilink, Ben Meilink en Jorn van Klooster (oprichters), Kristina Johansson genoemd als CEO",oprichters en CEO,GEVERIFIEERD,"RetailTrends, Textilia, bedrijfsprofiel. Gevestigd in Zwolle","RetailTrends: groeispurt met vier nieuwe markten. Supply Chain Magazine: uitbesteding was de beste optie om de groeiambities te realiseren (logistiek). Actief in NL, BE, FR, ES, DE, circa 25 procent omzet uit buitenland, verzending naar VS en Australie","Trustpilot loopt door tot boven de 280 paginas. Klantenservice goed bereikbaar via chat en Facebook, snelle compensatie met gratis vervanging of kortingscode. Kritiek over retourkosten voor eigen rekening","belofte binnen 48 uur, draait Zendesk, 4 taalvarianten, geen telefoonnummer",Ze hebben hun logistiek al uitbesteed omdat dat de beste manier bleek om te groeien. Die redenering hebben ze zelf al gemaakt en goed bevonden,"BANDVRAAG: groeicijfers 2017-2018 wijzen op een bedrijf boven de band, omzet eerst vaststellen"
Marcel's Green Soap,marcelsgreensoap.com,28,,"oprichter Marcel, achternaam niet hard",OPEN,,"Circa 3.919 Trustpilot-reviews. 5 taalvarianten, 137 producten in de feed",Overwegend positief. Bij bezorgprobleem met DHL pakte klantenservice het snel op en werd opnieuw geleverd. Terugkerende klacht over slecht ingepakte dozen en zeep die onderweg lekt,geen telefoonnummer op de site,"Lekkende zeep is een operationeel probleem dat als klantcontactprobleem binnenkomt. Elke lekkende doos is een mail, een foto en een nieuwe zending",
Nialaya,nialaya.com,26,Jannik Olander,Founder en CEO,GEVERIFIEERD,Reviewbronnen waarin hij zelf reageert op klanten,"67 reviews met gemiddelde 4,0. Draait Gorgias, 661 producten in de feed","Klantenservice uitzonderlijk genoemd, vriendelijk en professioneel. Klant die negatieve review plaatste werd persoonlijk benaderd door Jannik Olander zelf, die excuses aanbood en de fout op zich nam",,"De oprichter doet zelf de escalaties. Het werkt en het is niet vol te houden, want elke negatieve review kost hem een avond","Deens-Amerikaans van oorsprong, vestigingsplaats en rechtspersoon vaststellen"
