"bedrijf","domein","beslisser","plaats","feit_dat_er_wel_is","waarom_geen_tweede","lp_staat_live"
"Foxelli Group","foxelli.com","Armantas Bakas","Vlaardingen","Jullie voeren zeker 61 artikelen","about-us noemt geen enkel getal; Shopify-shop van 62 artikelen","intro-pique.agency/bcs5/foxelli-group"
"Vedder & Vedder","vedder-vedder.nl","Anne Vedder","Amsterdam","Jullie site staat klaar in 3 taalmarkten","winkelpagina staat achter een wachtwoord, site noemt geen aantallen","intro-pique.agency/bcs5/vedder-vedder"
"Interieurwereld van de Belt","interieurwereld.nl","Bert Rossing","Rogat-Meppel","Een showroom van ruim tienduizend vierkante meter","over-ons noemt alleen de 10.000 m2 die al als eerste feit staat","intro-pique.agency/bcs5/interieurwereld-van-de-belt"
"Nyn Vintage","nynvintage.com","Nynke Boonstra","Amsterdam","Jullie voeren zeker 603 artikelen","about-us noemt alleen de loopbaan van de eigenaar, geen bedrijfscijfers","intro-pique.agency/bcs5/nyn-vintage"
"Frankly Amsterdam","frankly.amsterdam","Femke Derks","Amsterdam","Jullie voeren zeker 629 artikelen","store locator laadt via Storemapper, dus niet uit te lezen","intro-pique.agency/bcs5/frankly-amsterdam"
"STËLZ","drinkstelz.com","Milan Voet","Amsterdam","Jullie site staat klaar in 2 taalmarkten","store locator laadt via Storemapper; de '2024 Producten' op de site is het jaartal en geen aantal","intro-pique.agency/bcs5/stelz"
"Smart Toys and Games","smarttoysandgames.com","Rolf Vandoren","Amsterdam","Jullie voeren zeker 637 artikelen","about-us zegt alleen 'our story began 30 years ago'","intro-pique.agency/bcs5/smart-toys-and-games"
"Reypenaer","reypenaer.nl","Rien van den Wijngaard","Woerden","Jullie site staat klaar in 3 taalmarkten","over-ons is familiegeschiedenis vanaf 1936, zonder aantallen","intro-pique.agency/bcs5/reypenaer"
"Wolk Airbag","wolkairbag.com","Mark Berkhout","Den Haag","Jullie site staat klaar in 2 taalmarkten","over-wolk noemt alleen testresultaten, geen omvang","intro-pique.agency/bcs5/wolk-airbag"
"Lampenlicht","lampenlicht.nl","Ard Huisert","Son en Breugel","Negenendertig webshops in zesendertig Europese landen","site staat achter Cloudflare; het enige tweede getal komt uit hetzelfde Emerce-artikel uit 2019 als het eerste feit","intro-pique.agency/bcs5/lampenlicht"
"BERG Toys","berg.com","Henk van den Berg","Ede","Jullie skelters staan in zestig tot zeventig landen","berg.com/nl/over-berg noemt geen getallen; medewerkersaantallen die ik vond zijn uit 2010 en 2011","intro-pique.agency/bcs5/berg-toys"
"Aardbeiplantje","aardbeiplantje.nl","Joost Henselmans","Baarlo","Negentien miljoen aardbeiplanten per jaar op vijfendertig hectare","over-ons is familiegeschiedenis; het enige volumegetal staat al op de kaart","intro-pique.agency/bcs5/aardbeiplantje"
"Magnetic Nail Design","magneticnaildesign.com","Mey Liang","","Jullie beloven zelf een reactietijd","over-magnetic noemt alleen jaartallen vanaf 1983","intro-pique.agency/bcs5/magnetic-nail-design"
"Pylos 59","pylos59.eu","Monic Besemer","Heteren","Jullie site staat klaar in 3 taalmarkten","geen over-ons in de sitemap, site noemt geen aantallen","intro-pique.agency/bcs5/pylos-59"
"Rum Baba","rumbaba.nl","Lusan Drost","Amsterdam","Jullie voeren zeker 58 artikelen","about-pagina zegt alleen 'for the past 15 years'","intro-pique.agency/bcs5/rum-baba"
"Decorazzi","decorazzi.com","Jerome de Groot","Utrecht","Jullie zijn aangesloten bij het Thuiswinkel Waarborg","about noemt alleen de loopbaan van de twee oprichters","intro-pique.agency/bcs5/decorazzi"
"Buitengoed.nl","buitengoed.nl","Lars Kuhlkamp","LOSSER","Jullie laten de service meten en staan op een 8,9","site geeft 403 op elke poging; merkenpagina niet uit te lezen","intro-pique.agency/bcs5/buitengoed-nl"
