rang,tier,bedrijf,domein,vertical,model,score,volumebewijs,cs_pijn,bron,platform,producten,talen,cs_tools,review_tools,kanalen,b2b,vacature,kvk,btw,postcode,telefoon,opgericht,scanstatus,http
1,Tier 1,Jane Lushka,janelushka.com,fashion-dames,hybride (eigen merk + wholesale),97,volwassen CS-tool: gorgias; 48 taal-/marktvarianten; 919 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,"FashionUnited: verkocht in vijf landen, distributie loopt zwaar via modezaken; webshop is het tweede kanaal",shopify|shopware,919,48,gorgias,reviewsio,mail|formulier|chat,ja,,,,,,,machinaal gescand,200
2,Tier 1,Aaiko,aaiko.com,fashion-dames,D2C-kern,94,volwassen CS-tool: gorgias; 27 taal-/marktvarianten; 357 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,Elevate Digital case: 62 procent omzetgroei op een full-funnel groeistrategie,shopify,357,27,gorgias,,formulier|chat,ja,carriere-pagina,33275672,NL804466099B02,1013 BC,,,machinaal gescand,200
3,Tier 1,10DAYS,10days.nl,fashion-dames,D2C-kern,94,volwassen CS-tool: gorgias; 14 taal-/marktvarianten; 358 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,"FashionUnited: omzet sinds 2020 verdubbeld, Duitsland en Nederland grootste markten, daarnaast AT, CH, BE, PL en ES",shopify,358,14,gorgias,judgeme|yotpo,formulier|chat,ja,carriere-pagina,62578286,,1033 MZ,,,machinaal gescand,200
4,Tier 1,Summum Woman,summumwoman.com,fashion-dames,hybride (eigen merk + wholesale),86,volwassen CS-tool: gorgias; 4 taal-/marktvarianten; 654 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify,654,4,gorgias,kiyoh|trustedshops,mail|formulier|chat,ja,carriere-pagina,34120194,,1042 AC,+31 20 262 2800,,machinaal gescand,200
5,Tier 1,LaDress,ladress.com,fashion-dames,D2C-kern,84,volwassen CS-tool: trengo; 6 taal-/marktvarianten; 491 producten in de feed; Shopify,,,shopify,491,6,trengo,,telefoon|mail|formulier|chat,,carriere-pagina,,,1071 NX,+31 20 528 5028,2006,machinaal gescand,200
6,Tier 1,Lekker Bikes,lekkerbikes.com,mobiliteit,D2C-kern,80,volwassen CS-tool: freshdesk; 13 taal-/marktvarianten; 46 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify,46,13,freshdesk,trustpilot,formulier|chat,ja,,,,1053 SB,09233789253,,machinaal gescand,200
7,Tier 1,Catwalk Junkie,catwalkjunkie.com,fashion-dames,hybride (eigen merk + wholesale),77,40 taal-/marktvarianten; 613 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,613,40,,,mail|formulier,ja,carriere-pagina,,,1031 HM,+31208202070,,machinaal gescand,200
8,Tier 1,Poools,poools.nl,fashion-dames,hybride (eigen merk + wholesale),77,144 taal-/marktvarianten; 324 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,324,144,,,mail|formulier,ja,carriere-pagina,10031024,,6645 AG,008434542,2000,machinaal gescand,200
9,Tier 1,Violet Hamden,violethamden.com,sieraden,D2C-kern,75,5 taal-/marktvarianten; 3000 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,3000,5,,trustedshops,formulier,ja,carriere-pagina,68185758,,9723 BK,0504214-04,,machinaal gescand,200
10,Tier 1,Colourful Rebel,colourfulrebel.com,fashion-dames,D2C-kern,74,33 taal-/marktvarianten; 799 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,"RetailTrends: 8-10 miljoen omzet verwacht in 2025, doel 25 miljoen; vanaf januari ook via Zalando en uitrol naar zeven Europese landen",shopify,799,33,,trustpilot|yotpo|googlereviews,formulier,ja,,,,1097 DN,,,machinaal gescand,200
