Bedrijf,Website,Stad,Verticaal,Omzet_est,Pijnprofiel,Beslisser_naam,Beslisser_functie,LinkedIn,Verificatie,Bron,Contactkanalen,Trigger,Openingshoek,Zoekopdracht_LinkedIn
"Florèz","florez.nl","Eemnes","Fashion · denim","€1-4M","A","Marilène Oldert","Klantenservice / Operations","https://www.linkedin.com/in/maril%C3%A8ne-oldert-b3023214b","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail, formulier, socials; geen chat/WhatsApp/telefoon","Biedt de klant alleen e-mail en twee contactformulieren plus socials; geen live chat, WhatsApp of telefoon.","Jullie laten klanten via het formulier of de mail wachten terwijl de rest van de winkel juist snel en persoonlijk aanvoelt.","site:linkedin.com/in ""Florez"" (operations OR ""customer service"" OR ecommerce) Eemnes"
"denim.lab","denimlab.nl","Nijkerkerveen","Fashion · denim","€500K-2M","A","Sander van de Vecht","Oprichter / eigenaar","","Geverifieerd","eigen meet-the-maker + pers","e-mail, chat (door founder zelf); geen telefoon/formulier","De contactpagina stuurt klanten naar de chatknop ('we try to reply asap') en e-mail, zonder telefoon of formulier, terwijl de oprichter half het jaar bij mills en fabrieken zit.","Je belooft klanten op de chat 'zo snel mogelijk' te reageren, maar je zit half het jaar bij mills en fabrieken.","site:linkedin.com/in (""denim.lab"" OR ""denim lab"") Nijkerkerveen (operations OR ecommerce)"
"Benzak Denim Developers","benzakdenimdevelopers.com","Amsterdam","Fashion · denim","€500K-1,5M","A","Lennaert Nijgh","Oprichter","","Geverifieerd","eigen our-story + brede pers","alleen contactformulier + socials; geen e-mail/telefoon/chat","De contactpagina biedt uitsluitend een contactformulier plus socials, geen zichtbaar e-mailadres, telefoon of chat, terwijl er wereldwijd verzonden wordt.","Je verkoopt wereldwijd premium denim, maar internationale klanten kunnen je alleen via een formulier bereiken en dan wachten op jou persoonlijk.","site:linkedin.com/in (""Benzak Denim"" OR BDD) Amsterdam (operations OR ecommerce)"
"Lotties Period","lottiesperiod.com","Amsterdam","Fashion · underwear","€1-3M","B","Milou van Dalen","Klantenservice","","Geverifieerd","eigen teampagina","e-mail (info@), formulier, WhatsApp; geen chat/telefoon","Klantenservice loopt via e-mail, WhatsApp en FAQ, en komt bij één toegewijde medewerker (Milou) binnen; kwetsbaar bij volume of afwezigheid.","Bij een groeiend menstruatieondergoed-merk hangt jullie hele klantcontact aan WhatsApp en de mailbox van één iemand.","Op de officiële teampagina staat Milou als enige onder 'Klantenservice'. 2e ingang: Mariëlle Pietersen (Office Manager)"
"Savara Intimates","savaraintimates.com","Utrecht","Fashion · lingerie","€500K-2M","A","Michelle Jamoneau","Eigenaar (nam merk over; ook founder Bandini)","","Geverifieerd","RetailTrends + FashionUnited","e-mail (info@), formulier; geen chat/WhatsApp/telefoon","De contactpagina biedt alleen e-mail en een formulier, geen chat, WhatsApp of telefoon, ondanks een gevoelig productdomein (prothese-bh's, pasvorm).","Jullie verkopen bh's waar pasvorm en vertrouwen alles zijn, maar klanten met twijfel kunnen alleen een formulier invullen en wachten.","site:linkedin.com/in ""Savara Intimates"" (operations OR customer OR ecommerce). Pasvorm-/maatvragen = groot deel CS"
"Boru Bamboo","borubamboo.nl","Zuidbroek","Fashion · underwear","€500K-2M","A","","Eigenaar (familiebedrijf; naam alleen via KvK)","","Naam te vinden","Simon: algemeen adres, geen beslisser","e-mail, formulier, telefoon, socials","91 Kiyoh-reviews worden niet beantwoord en er zijn geen nieuwe reviews in de laatste 12 maanden; reviewbeheer lijkt stilgevallen.","Jullie hebben 91 mooie Kiyoh-reviews staan, maar het lijkt alsof er al een tijd niemand meer op reageert of nieuwe ophaalt.","site:linkedin.com/in ""Boru Bamboo"" (operations OR customer OR klantenservice)"
"Swaens Bamboo Underwear","swaens.nl","Obbicht","Fashion · underwear","€500K-2M","A","","Eigenaar/oprichtster (oud-verpleegkundige; 'Mark van Seggelen' klopt niet)","","Naam te vinden","Simon: algemeen adres, geen beslisser","e-mail, formulier, telefoon; geen chat/WhatsApp","Klantenservice via telefoon, e-mail en formulier met belofte 'binnen 24 uur', zonder chat of WhatsApp, terwijl het domein (menstruatie/incontinentie/lichen sclerosus) gevoelig en vraag-intensief is.","Jullie beloven binnen 24 uur te reageren op vragen over heel gevoelige producten, en dat rust nu op jou en het gezin.","site:linkedin.com/in ""Swaens"" Obbicht (operations OR customer OR klantenservice)"
"Unrecorded","unrecorded.co","Amsterdam","Fashion · basics","€2-6M","A","Jolle van der Mast","Mede-oprichter","","Geverifieerd","OPUMO + trademark + pers","e-mail, formulier, telefoon; geen chat/WhatsApp","Trustpilot-reviews melden dat retouren niet tijdig worden terugbetaald en dat de klant geen communicatie krijgt tot hij zelf achteraan gaat; internationale retouren worden afgeraden.","Ik zie op Trustpilot dat klanten weken op hun terugbetaling wachten zonder bericht, terwijl jullie merk juist om rust en kwaliteit draait.","site:linkedin.com/in ""Unrecorded"" (operations OR customer OR ""e-commerce"") Amsterdam"
"Rhea","rheastore.co","Amsterdam","Fashion · knitwear","€500K-2M","A","Roos Fleuren","Mede-oprichter","","Geverifieerd","eigen our-story + LinkedIn","e-mail (hello@), formulier, Instagram; geen telefoon/chat/WhatsApp","Contact uitsluitend via e-mail, formulier en Instagram, geen telefoon/chat/WhatsApp, terwijl het merk internationaal verkoopt.","Jullie bouwen een merk rond aandacht en zorg, maar klanten kunnen jullie alleen via de mail of Instagram-DM bereiken.","site:linkedin.com/in ""Rhea"" (operations OR ""customer service"" OR fulfilment) Amsterdam knitwear"
"Loop.a life","loopalife.com","Amsterdam","Fashion · knitwear","€500K-2M","A","Ellen Mensink","Oprichter (ook CEO Brightfiber)","","Geverifieerd","eigen site + pers; NB moederbedrijf failliet 2024, doorstart","e-mail (info@), formulier, socials; geen chat/WhatsApp/telefoon","Contact uitsluitend via e-mail en formulier plus socials; bovendien ging moederbedrijf Brightloops B.V. failliet in 2024 en draait het merk afgeslankt door.","Na alles wat er rond Brightloops is gebeurd, houden jullie de winkel draaiend met alleen de mailbox voor klantvragen.","site:linkedin.com/in ""Loop.a life"" (operations OR customer OR ""e-commerce"") Amsterdam"
