bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Actief Select,actiefselect.com,geraden en bevestigd,Teamleider Customer Service &amp; Administratie,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/teamleider-customer-service-administratie-at-actief-select-4467708868,klantcontact,ok,woocommerce,,,,,ja,,2,,,3218 TA,,,,,,,site onbereikbaar,,,
Amazon,amazon.be,geraden en bevestigd,"Selling Partner Support Associate — Korean Speaker, Selling Partner Support",2026-09-18,Middelburg,1,nee,https://nl.linkedin.com/jobs/view/selling-partner-support-associate-%E2%80%94-korean-speaker-selling-partner-support-at-amazon-4469141601,customer happiness,ok,woocommerce,,2,,,ja,,0,,,,+3232429265,,,,,,geen score gevonden,,,
BOOG werkt,boogwerkt.nl,geraden en bevestigd,Manager Zeevracht,2026-09-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/manager-zeevracht-at-boog-werkt-4469184421,voorraadbeheer webshop,ok,,,,whatsapp,,ja,,0,api[- ]documen,,,,,,,,,geen score gevonden,,,
BRAND VAN EGMOND,brandvanegmond.com,geraden en bevestigd,Marketing Communications Manager,2026-07-29,Naarden,1,nee,https://nl.linkedin.com/jobs/view/marketing-communications-manager-at-brand-van-egmond-4443687519,brand manager webshop,ok,woocommerce,,2,,,ja,,0,,,1411 AH,,,,,,,geen score gevonden,,,
Capestone,capestone.com,geraden en bevestigd,Verkoopondersteuning,2026-09-17,Leiden,1,nee,https://nl.linkedin.com/jobs/view/verkoopondersteuning-at-capestone-989989,klantcontact,ok,woocommerce,,4,,,ja,,1,,17252210,2314 XP,,,,,,,geen score gevonden,,,
ClockWise,clockwise.nl,geraden en bevestigd,Tech Lead | SaaS | PHP/Svelte | Amsterdam | tot 90K,2026-09-07,Amsterdam-Noord,1,nee,https://nl.linkedin.com/jobs/view/tech-lead-saas-php-svelte-amsterdam-tot-90k-at-clockwise-4462936672,webcare,ok,woocommerce,,,,,ja,,0,,24229830,3221 AV,+31181327777,,,,,,geen score gevonden,,,
Connect-D,connectd.nl,geraden en bevestigd,Accountmanager,2026-09-22,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/accountmanager-at-connect-d-4468916109,klantcontact,ok,woocommerce,,,,,ja,,0,,,,,,,,,,geen score gevonden,,,
CoolSafety,coolsafety.nl,geraden en bevestigd,Brand Marketeer,2026-09-22,Leusden,1,nee,https://nl.linkedin.com/jobs/view/brand-marketeer-at-coolsafety-4470280362,brand manager webshop,ok,woocommerce,,,chatgpt-bot,trustpilot|kiyoh,ja,,3,,,,,,,,,,geen score gevonden,trustpilot|kiyoh,,
Cotton Club,cottonclub.nl,geraden en bevestigd,Verkoopmedewerker,2026-09-18,Sneek,12,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-at-cotton-club-4467859252,klantcontact,ok,,,2,,,ja,,2,,,,0203412670,,,,,,geen score gevonden,,,
Craftr,craftr.nl,geraden en bevestigd,Relatiebeheerder,2026-09-15,"Gelderland, Nederland",2,nee,https://nl.linkedin.com/jobs/view/relatiebeheerder-at-craftr-4467723241,klantcontact,ok,woocommerce,,,whatsapp,,ja,,0,api[- ]documen|onze dienstver,,3812 RH,+31624227486,,,,,,geen score gevonden,,,
