Tier,Bedrijf,Stad,Verticaal,Merktype,Platform,Omzet_est,Geografie,CS_situatie,Pijn_profiel,ICP_score,Trigger,Contactkanalen_signal,ICP_fit_toelichting,Beslisser_naam,Beslisser_functie,LinkedIn_zoekterm,Verificatie_nodig,Status
Tier 1,A-dam Underwear,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Actieve founder/socials + collectie,E-mail + chat,DTC basics; hoge retour-CS; geen inhouse team zichtbaar; past SOLIT-profiel,,Founder / CEO,founder a-dam underwear amsterdam,BuiltWith + Trustpilot + LI,Direct activeren
Tier 1,Zusss,Goes,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Groot assortiment + socials actief,E-mail + contactformulier,Lifestyle & home; Q4-piek; CS-volume hoog; boutique NL,,Founder / DGA,founder zusss goes,BuiltWith + kanalen audit,Direct activeren
Tier 1,Your Wishes,Nederland,Lifestyle,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,A,8/8,Q4 gifting-piek extreem,Alleen e-mail (verif.),Gepersonaliseerde gifts; founder overload bij piek; ideale Hornbad-hook,,Founder,founder your wishes gifts nederland,Kanalen + omzet,Direct activeren
Tier 1,Fabienne Chapot,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€3M–8M,NL,Groeit eruit,B,8/8,Community + drops,E-mail + socials,Fashion & accessories; community-sterk; monitoren op outsource-bereidheid (Jeffrey),,Founder / CMO,founder fabienne chapot amsterdam,CS-structuur + outsource intent,Direct activeren
Tier 1,Kings of Indigo,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€3M–8M,NL,Verificeren,B,8/8,Jeffrey: top kandidaat,E-mail (verif.),Premium denim; duurzaam; als geen inhouse CS → direct Tier 1,,Founder / CEO,founder kings of indigo amsterdam,CS-team check (LI + vacatures),Direct activeren
Tier 1,The Car Parfume,Nederland,Lifestyle,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,A,8/8,Warm: mailcontact Ruben,E-mail + socials,Warme naam JayJay Boske; parfum/lifestyle D2C; bestaand contact,Ruben,Mede-eigenaar,Ruben the car parfume,Warm contact bevestigen,Direct activeren
Tier 1,Nootens Lifestyle,Nederland,Lifestyle,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Basic tool,B,8/8,In pipeline deck week 6,E-mail (verif.),Al in BCS-pipeline; lifestyle D2C; CMO Joris Bakker,Joris Bakker,CMO,Joris Bakker Nootens,Shopify + CS audit,Direct activeren
Tier 1,Mr. Marvis,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Bekende NL DTC groei,E-mail + chat,Boutique trousers; retour/maat CS; founder-led merk,,Founder / CEO,founder mr marvis amsterdam,BuiltWith + Trustpilot,Direct activeren
Tier 1,MUD Jeans,Almere,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Duurzaamheid + circulair,E-mail + contactformulier,Denim circular lease/buy; CS over retour & lease; past fashion segment,,CEO / Founder,CEO mud jeans almere,CS-tool + team size,Direct activeren
Tier 1,Kuyichi,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Duurzame denim niche,E-mail (verif.),Pioneer sustainable denim; D2C NL; maat/retour volume,,Founder / Director,directeur kuyichi amsterdam,BuiltWith + omzet,Direct activeren
Tier 1,Labfresh,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Stain-repellent shirts niche,Alleen e-mail (verif.),DTC overhemden; productvragen + retouren; klein team,,Founder,founder labfresh amsterdam,Kanalen audit,Direct activeren
Tier 1,Saint Basics,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Basics/ondergoed DTC,E-mail + chat,Basics merk; subscription-achtige herkoop; CS-volume stabiel,,Founder,founder saint basics amsterdam,Shopify verify,Direct activeren
Tier 1,Sproet & Sprout,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€1M–4M,NL,Groeit eruit,A,8/8,Kids lifestyle groei,E-mail + socials,Kinderkleding; founder doet CS erbij; seizoenspieken,,Founder,founder sproet en sprout amsterdam,CS vacature check,Direct activeren
Tier 1,Kosso Nutrition,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Jeffrey referentie-type,E-mail (verif.),Supplementen; product/dosering vragen; tweede golf segment,,Founder / DGA,founder kosso nutrition,Product-CS volume,Direct activeren
Tier 1,Colours & Sons,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Basic tool,B,8/8,Fashion accessoires,E-mail (verif.),Accessoires/kleding D2C; seizoenscollecties; CS bij drops,,Founder,founder colours and sons,BuiltWith,Direct activeren
Tier 1,Komrads,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Sneakers/schoenen DTC,E-mail + chat,Footwear D2C; maat/retour focus; boutique schaal,,Founder,founder komrads sneakers,Shopify + omzet,Direct activeren
Tier 1,FEST Amsterdam,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Groeit eruit,B,8/8,Amsterdam fashion merk,E-mail (verif.),Contemporary fashion; D2C kanaal; community merk,,Founder / Creative director,founder fest amsterdam fashion,CS situatie,Direct activeren
Tier 1,FLOTTE,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Loungewear/essentials,E-mail (verif.),Loungewear D2C; herhaalaankopen; informele CS,,Founder,founder flotte amsterdam,Kanalen audit,Direct activeren
Tier 1,Refished,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Circular fashion,E-mail (verif.),Circular/upcycled fashion; productvragen; groeiend merk,,Founder,founder refished circular fashion,Shopify verify,Direct activeren
Tier 1,Delft Denim,Delft,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Jong merk 2022+ groei,E-mail (verif.),Duurzaam denim; founder-led; sweetspot omzet,Bas Visser,Founder,Bas Visser delft denim,Omzet + CS,Direct activeren
Tier 1,Eindbaas Apparel,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,A,8/8,Activewear jong merk,E-mail + socials,Gym/streetwear D2C; founder overload type,,Founder,founder eindbaas apparel,BuiltWith,Direct activeren
Tier 1,Studio Anneloes,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Damesmode populair DTC,E-mail + chat,Damesmode; veel SKUs; retour/maat CS-piek,,Founder / CEO,founder studio anneloes,CS team size,Direct activeren
Tier 1,Penn & Ink,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Basic tool,B,8/8,Fashion merk DTC,E-mail (verif.),NL fashion label; eigen webshop; seizoenspieken,,DGA / Founder,DGA penn ink fashion,Shopify verify,Direct activeren
Tier 1,Lois Jeans,Nederland,Fashion,Eigen merk + retail,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Denim heritage D2C,E-mail + contactformulier,Denim merk met D2C shop; retourvolume; niet pure reseller,,Marketing director / DGA,directeur lois jeans,D2C aandeel omzet,Direct activeren
Tier 1,JOSH V,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Damesmode brand,E-mail + chat,Fashion brand; webshop NL; maat/retour CS,,Founder / Commercial,founder josh v fashion,BuiltWith,Direct activeren
Tier 1,Yaya,Lijnden,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Fashion wholesale+D2C,E-mail (verif.),Bekend NL fashion; eigen webshop; CS bij consument,,DGA,DGA yaya fashion,D2C volume vs wholesale,Direct activeren
Tier 1,Transfer,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Knitwear niche,E-mail (verif.),Knitwear D2C; productvragen; boutique,,Founder,founder transfer knitwear,Shopify verify,Direct activeren
