bedrijf,naam,rol,status,bron
ANNA plus NINA,Anna De Lanoy Meijer,Owner,GEVERIFIEERD,Bedrijfsdata plus eigen site https://www.anna-nina.nl
Aaiko,Pauline Brakenhoff,oprichter / directeur,GEVERIFIEERD,"FashionUnited 16-07-2020: mede-oprichter Rob Groenteman vertrok, Brakenhoff nam aandelen over"
Ballin Amsterdam,Auke Aslan de Geus,oprichter,GEVERIFIEERD,Meerdere handelsbronnen: richtte het merk in 2015 op toen hij zeventien was
Blond Amsterdam,Femque van Geffen en Janneke Droge,oprichters,GEVERIFIEERD,Openden in 2001 een studio en winkel op de Spuistraat
Butcher of Blue,Bob Rijnders en Maarten Rijnders,"oprichters, neven, sinds 2017",GEVERIFIEERD,Merkverhaal en handelsbronnen
CanvasCompany,Halbe Boersma,oprichter en directeur,GEVERIFIEERD,eigen over-ons plus pers over de Young Entrepreneur Award. Kollum
Catwalk Junkie,"Ben van 't Veld (directeur/eigenaar U.S.P. Fashion) en Marieke Willemars (oprichter, creative director)",directeur en creative director,GEVERIFIEERD,Textilia en FashionUnited
Colourful Rebel,"Frank en Bas van de Brug, met Oscar Kemps",oprichters,GEVERIFIEERD,"FashionUnited en RetailTrends. FashionUnited meldde in 2017 een nieuwe CEO, dus huidige rolverdeling bevestigen"
Cosmeau,Jason Wen,oprichter en CEO,GEVERIFIEERD,zijn LinkedIn plus de Cosmeau-bedrijfspagina
Fitchef,Mark van Oosterwijck,oprichter,GEVERIFIEERD,Team van circa 18 mensen
Flinndal,Robert Cornelisse,operationeel directeur,GEVERIFIEERD,Running IT-referentiepagina plus flinndal.nl/over-ons. Wouter van Zweeden is e-commerce directeur
Foto op Hout,Halbe Boersma,oprichter en directeur,GEVERIFIEERD,"zelfde groep FotoCadeau als CanvasCompany. LET OP: zelfde organisatie als CanvasCompany, dus maar een van de twee benaderen"
Fotofabriek,Stephan de Vries,algemeen directeur en eigenaar,GEVERIFIEERD,fotofabriek.nl/over-ons plus PRINTmatters 03-07-2025
Greve Shoes,Jos Jan Greve,vierde generatie familiebedrijf,GEVERIFIEERD,"Schoenfabriek H. Greve, opgericht 1898 in Waalwijk, koninklijk predicaat sinds 1998"
Grutto,Yvo van Rijen en Berend te Voortwis,oprichters,GEVERIFIEERD,Eigen bedrijfsverhaal en media
Jane Lushka,Jane en Lushka Iskroff,eigenaren,GEVERIFIEERD,Bedrijfsprofiel. FashionUnited 08-08-2023: oprichter lanceerde nieuw merk JL Studio
Just Franky,Anne en Esther Vedder,"oprichters, tweelingzussen",GEVERIFIEERD,Merkverhaal en handelsbronnen
