bedrijf,domein,faseA_rang,beslisser,functie,beslisser_status,bron_beslisser,trigger,reviewsignaal,servicebelofte,onderzoekshoek,status
Flinndal,flinndal.nl,55,,,OPEN,,22.000+ Trustpilot-reviews over 790 tot 958 paginas. Abonnementsmodel met vaste leveringen,Sterk beoordeeld. Klantenservice altijd bereikbaar voor productkeuze-advies,"bereikbaar ma-vr 09:00-17:00 en za 10:00-16:00 via gratis nummer 0800-7080, retour 100 dagen aanmelden plus 14 dagen terugsturen","Vitamine-abonnement met 22.000 reviews en zaterdagbereikbaarheid. Ze hebben het al opgeschaald tot waar het pijn doet, want zaterdag bemensen is duur","TOPKANDIDAAT, hoogste ticketvolume-bewijs van golf 3"
PLNTS,plnts.com,57,,,OPEN,,22.463 Trustpilot-reviews. Levering in NL en BE binnen twee werkdagen,"Gemengd. Lof voor WhatsApp-service, snelle reacties en goede oplossingen. Klachten over beschadigde planten in te kleine dozen, een groeigarantie van 30 dagen die te kort wordt gevonden, en lange reactietijden","live chat, contactformulier en social media",Levende planten per post: elke beschadigde zending is een gesprek plus een vervanging. 22.463 reviews betekent dat dit dagelijks gebeurt,TOPKANDIDAAT
Printenbind,printenbind.nl,52,,"oprichter Bart, achternaam niet hard",OPEN,,"5 sterren met 9.500+ Trustpilot-reviews over 280 paginas. Duizenden orders per dag voor studenten, ondernemers en professionals. Eigen werkplaats in Amsterdam","Klantenservice geroemd als uitstekend, zorgvuldig werk en perfect geleverd drukwerk","bereikbaar ma t/m do 08:00 tot 21:30, telefoon en WhatsApp open, Intercom als chat","Ze zijn al tot 21:30 open, dus ze weten dat het volume buiten kantooruren doorloopt. Duizenden orders per dag met deadlines erop betekent dat elke vertraging meteen een gesprek is",TOPKANDIDAAT
Matt Sleeps,mattsleeps.com,71,,,OPEN,,"4,6 uit 5 met 5.300+ Trustpilot-reviews over 240 paginas. Matras ontwikkeld met TU Delft-studenten, 8 jaar doorontwikkeld op feedback van 400.000+ klanten. Achtmaal Beste matras van Nederland bij de Consumentenbond. Eerste merk in NL met 120 dagen gratis thuis proefslapen","Lof voor snelle levering en uitstekende service met deskundige antwoorden. Klachten over doorzakkende matrassen, kapotte ritsen, beschadigde verpakking en vertragingen","Intercom als chat, telefoon aanwezig, bereikbaar ma-vr 10:00-17:00",120 dagen gratis proefslapen is een fantastische belofte en een retourmachine. Elke twijfelende klant is 120 dagen lang een potentieel gesprek,TOPKANDIDAAT
LouLou Essentiels,loulouessentiels.nl,79,,oprichter ontwierp in 2010 de Smart Little Bag,OPEN,,"9,4 uit 10 over 10.967 reviews. Meer dan 300.000 Smart Little Bags verkocht, eerste exemplaar ging naar toenmalig prinses Maxima en haalde de kranten","Overwegend positief: goede en snelle levering, vriendelijk personeel, uitstekende service","info@byloulou.com, bereikbaar ma t/m vr 09:00-17:00, geen telefoonnummer op de site","Bijna 11.000 reviews op 9,4 en het enige kanaal is een mailadres. Dat niveau vasthouden bij dit volume is handwerk",ONDERGEWAARDEERD in Fase A op rang 79
Podobrace,podobrace.nl,63,Bill Duin,oprichter,GEVERIFIEERD,"Diverse handelsbronnen, gevestigd in Volendam",Omzet in korte tijd vertienvoudigd door samenwerking met platforms naast de eigen webshop. Nam Dutch Trading Concepts Company (DUTCC) over en kreeg daarbij de consumentenwebshop Huishobby.nl. Won de Rabobank Starterprijs en Beslist Webshop Awards voor beste service,"1.051 Trustpilot-reviews. Klantenservice geroemd als zeer responsief, met gratis vervangingen, snelle omruilingen en terugbetalingen bij verkeerde leveringen en beschadigde producten","belofte binnen 24 uur, telefoon aanwezig, WhatsApp open, draait Trengo","Omzet maal tien, een overname erbij en een tweede webshop erbij. Ze hebben een prijs gewonnen voor beste service, dus dat is hun visitekaartje. De vraag is wat het kost om dat vast te houden nu er twee webshops en meerdere platforms bij zijn gekomen","STERK, overname is een harde aanleiding"
Grutto,grutto.com,65,Yvo van Rijen en Berend te Voortwis,oprichters,GEVERIFIEERD,Eigen bedrijfsverhaal en media,"Begon als koopeenkoe.nl, groeide naar elf losse websites zoals koopeenkip.nl en koopeenvarken.nl, die zijn samengevoegd tot Grutto. Opgericht 2014, uitgebreid naar Belgie, Duitsland en Frankrijk. B Corp met score 98,7. Media-aandacht via 1-Vandaag, RTL-Z, Volkskrant, NRC, AD, Telegraaf en Parool","Positief over kwaliteit, verpakking en samenstelling van de pakketten. Daarnaast meldingen dat mails onbeantwoord blijven, dat de klantenservice niet bereikbaar is en dat pakketten niet geleverd werden zonder dat het bedrijf telefonisch te bereiken was","telefoon tijdens kantooruren, mail en social media","Vers vlees met een leverafspraak: als er iets misgaat is het bederfelijk en dus urgent. Elf websites samengevoegd tot een merk in vier landen, en de klant die belt krijgt niemand aan de lijn",STERK
Veloretti,veloretti.com,42,,,OPEN,,"Trustpilot loopt door tot 174 paginas internationaal. Ontworpen in Amsterdam, gemaakt in Europa","Sterk verdeeld. Positief over snelle, vriendelijke en deskundige service. Negatief over slechte kwaliteit, gebroken beloftes, lange wachttijden op reparatie en gebrek aan onderdelen waardoor mensen een nieuwe fiets moesten kopen. Montage-instructies worden schaars en slecht gedetailleerd genoemd","draait Gorgias, geen telefoonnummer gevonden op de site","Een fiets die beschadigd aankomt of niet te monteren is, is geen mailtje maar een crisis. 174 paginas reviews met dit patroon betekent dat de servicedesk structureel achterloopt","STERK, zwaarste reviewpijn van golf 3"
Fotofabriek,fotofabriek.nl,68,,,OPEN,,"Circa 1.381 Trustpilot-reviews plus een Feedback Company-pagina. Productie volledig in Nederland. Assortiment van fotoalbums, fotoboeken, kaarten, kalenders, visitekaartjes, wanddecoratie en fotocadeaus","Positief over vriendelijke en meedenkende service, snelle levering binnen twee dagen en hoge printkwaliteit. Een klant meldt dat er pas gereageerd werd nadat hij een slechte review had geplaatst","belofte binnen 24 uur, bereikbaar vanaf 08:00 tot 20:00, telefoon aanwezig","Pas reageren nadat iemand een slechte review plaatst, is het duurste kanaal dat er is. Fotoproducten hebben deadlines, dus elke dag vertraging is een klacht",STERK
Circle of Trust,circleoftrust.nl,90,,,OPEN,,1.679 Trustpilot-reviews met 4 sterren over 65 paginas,Positief over goede bereikbaarheid van de klantenservice en snelle levering,"belofte binnen 1 werkdag, telefoon aanwezig",Bijna 1.700 reviews met een servicebelofte van een werkdag. Dat is echt volume met een echte belofte eronder,ONDERGEWAARDEERD in Fase A op rang 90
Casimoda,casimoda.nl,80,,,OPEN,,"Gestart augustus 2013, inmiddels meer dan 10.000 telefoonhoesjes in het assortiment, alle hardcases handgemaakt",Positief over snelle levering en vlotte reacties. Gemengd over vage communicatie rond levertijden en terugbetalingen die uitbleven,"klantenservice zeven dagen per week bereikbaar, achteraf betalen, gratis en snelle verzending, retour of ruilen binnen 14 dagen",Zeven dagen per week bereikbaar zijn met achteraf betalen erbij is een keuze die veel werk oplevert. Achteraf betalen genereert bovendien zijn eigen stroom betaalvragen,STERK
Just Franky,justfranky.com,72,Anne en Esther Vedder,"oprichters, tweelingzussen",GEVERIFIEERD,Merkverhaal en handelsbronnen,"Sieraden liggen bij 36 high-end juweliers in Nederland naast de eigen webshop. Werkt uitsluitend met 14-karaats goud, volledig personaliseerbaar",Positief over snelle service en kwaliteit. Het merk maakt verloren sieraden kosteloos opnieuw,draait op Lightspeed,Verloren sieraden gratis opnieuw maken is een belofte die alleen werkt als iemand elk geval persoonlijk oppakt. Bij gegraveerde sieraden is elke spelfout een nieuw exemplaar,
Names4ever,names4ever.nl,73,,,OPEN,,"4.442 Kiyoh-reviews met een 9,3. Domein geregistreerd 7 januari 2009. Voert ook names4ever.co.uk en namesforever.de, dus drie markten",Gemengd. Klantenservice reageert snel en denkt mee. Daarnaast een klant die ruim een week op een retouradres wachtte zonder antwoord op meerdere mails,geen telefoonnummer op de site,"Drie landen, gepersonaliseerde sieraden en 4.442 reviews, en een klant die een week op een retouradres wacht. Dat is het gat",STERK
