bedrijf,domein,plaats,naam,rol,bron,status,notitie
Cloudpillo,cloudpillo.com,,Lars van der Wijst,mede-oprichter,Wonen360 + RetailTrends + Forbes 30 under 30,GEVERIFIEERD,"samen met Jens Timmers. Omzet 36 mln in 2024, groeit hard"
BOSKA Food Tools,boska.com,,Martijn Bos,"eigenaar en directeur, vierde generatie",nlgroeit-interview + Kijk op BR,GEVERIFIEERD,"familiebedrijf sinds 1896, B Corp, 25 procent omzet in de VS"
Satechi,satechi.com,,,,,AF,"Amerikaans bedrijf uit San Diego, geen NL-entiteit"
STOX Energy Socks,stoxenergy.com,,Stijn Nuijten,CEO,FashionUnited + RetailTrends,GEVERIFIEERD,"oprichter is Caspar Disselhoff, Wouter de Keizer alg. directeur sinds 2019"
Paul Roescher,paulroescher.nl,,Paul Roescher,directeur en oprichter,eigen over-ons + VRO + Stagemarkt,GEVERIFIEERD,"keukens, badkamers en tegels sinds 1971, megastores in Rijssen en Apeldoorn"
Zitmaxx Wonen,zitmaxx.nl,,Arien Vos,directeur,Omroep West + Interior Business (magazijnbrand) + LinkedIn,GEVERIFIEERD,"bij Zitmaxx sinds 2005, 85 medewerkers. Zoon William Vos doet P&O"
Giga Meubel,gigameubel.nl,,Alex van Drenth,"oprichter en eigenaar, alg. directeur sinds 2017",Interior Business interview + Bedrijvenregister,GEVERIFIEERD,
123inkt.nl,123inkt.nl,,Gerben Kreuning,oprichter en eigenaar,Wikipedia + Twinkle coverinterview,GEVERIFIEERD,"let op: bedrijf staat te koop voor 500 mln, mogelijk te groot"
123schoon.nl,123schoon.nl,,Gerben Kreuning,oprichter en eigenaar,Wikipedia + eigen historie,GEVERIFIEERD,"onderdeel van 123inkt sinds 2016, zelfde eigenaar"
DeJong Cheese - Alphenaer,dejongcheese.nl,,Arjan de Jong,eigenaar,eigen about-us + LinkedIn,GEVERIFIEERD,"familiebedrijf in Alphen NB sinds 1995, eigen merk Alphenaer sinds 2013"
