Prospect,Contactpagina,Formulier,Onderwerp,Bericht,Link
Studio Anneloes,https://www.studioanneloes.nl/contact/,NEE,Reviews over vermiste pakketten,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

In jullie reviews schrijven klanten dat ze soms dagen wachten op bericht over een vermist pakket, terwijl er een vacature voor klantenservice openstaat. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/studio-anneloes

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/studio-anneloes
Komrads,komrads.eu,NEE (geen pagina),Retouren die blijven hangen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Een paar klanten schrijven dat hun retour blijft hangen: mails onbeantwoord, terugbetaling die na tien dagen nog niet binnen is. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/komrads

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/komrads
Essenza Home,https://www.essenzahome.nl/contact,ONBEKEND,Vijf dagen wachten op antwoord,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

In de reviews komt steeds hetzelfde terug: vijf dagen wachten op antwoord, en dan een stagiair aan de lijn. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/essenza-home

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/essenza-home
vtwonen shop,https://shopvtwonen.shop/contact,ONBEKEND,Wachttijd bij de klantenservice,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie Trustpilot staat op 2,8, met klachten over twintig minuten wachttijd en steeds wisselende mensen aan de klantenservice. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/vtwonen

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/vtwonen
Women’s Best NL,https://eu.womensbest.com/pages/contact,NEE,Nederlandse klanten zonder antwoord,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Nederlandse klanten appen jullie en krijgen geen antwoord. Er zit op dit moment geen lokale klantenservicelaag tussen het merk en die klant. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/womensbest

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/womensbest
Foodspring NL,https://www.foodspring.nl/contact,ONBEKEND,NL-nummer komt uit in Duitsland,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Het NL-nummer komt uit in Duitsland en een paar klanten melden dat ze acht weken op antwoord over een retour wachten. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/foodspring

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/foodspring
Fabienne Chapot,https://www.fabiennechapot.com/pages/contact-us,NEE,Reacties op negatieve reviews,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Bij ruim 3.200 reviews valt op dat negatieve reviews vrijwel nooit een reactie krijgen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/fabienne-chapot

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/fabienne-chapot
Kings of Indigo,https://www.kingsofindigo.com/pages/contact,JA,Mails na de doorstart,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Na de doorstart blijven mails liggen en staan terugbetalingen stil, lees ik in de reviews. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/kings-of-indigo

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/kings-of-indigo
MUD Jeans,https://mudjeans.com/pages/contact-us-mud-jeans,JA,De AI-bot bij lease-vragen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie CEO gaf zelf aan dat de AI-bot vastloopt op lease-vragen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/mud-jeans

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/mud-jeans
JOSH V,https://www.joshv.com/contact,NEE,Same-day belofte versus verzending,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Ondanks de same-day belofte schrijven klanten over trage verzending, terwijl jullie hard groeien. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/josh-v

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/josh-v
