bedrijf,domein,faseA_rang,vertical,bevinding,mechanisme,implicatie_als_vraag,koopmoment,bevinding_bron,bevinding_gecheckt,bronregel,cs_tooling,producten,markten,teampagina,vacaturepagina,linkedin,kandidaat_namen,status
Jane Lushka,janelushka.com,1,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail. De site voert 48 taal- en marktvarianten. De productfeed telt 919 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina janelushka.com,17 augustus 2026,"Bron: klantenservicepagina janelushka.com, gecontroleerd 17 augustus 2026",gorgias,919,48,https://janelushka.com/pages/jane-lushka-about-us,,,,geverifieerd-bevinding
Aaiko,aaiko.com,2,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail. De site voert 27 taal- en marktvarianten.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina aaiko.com,17 augustus 2026,"Bron: klantenservicepagina aaiko.com, gecontroleerd 17 augustus 2026",gorgias,357,27,https://aaiko.com/pages/our-story,https://aaiko.com/pages/careers,,,geverifieerd-bevinding
Summum Woman,summumwoman.com,4,fashion-dames,De productfeed telt 654 artikelen.,"Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.",Ik was benieuwd wie er op dit moment op het klantcontact zit.,Het volume groeit sneller dan de bezetting,klantenservicepagina summumwoman.com,17 augustus 2026,"Bron: klantenservicepagina summumwoman.com, gecontroleerd 17 augustus 2026",gorgias,654,4,,,,,geverifieerd-bevinding
LaDress,ladress.com,5,fashion-dames,De site voert 6 taal- en marktvarianten.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe jullie 6 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina ladress.com,17 augustus 2026,"Bron: klantenservicepagina ladress.com, gecontroleerd 17 augustus 2026",trengo,491,6,https://ladress.com/pages/about-us,https://ladress.com/pages/careers,https://linkedin.com/company/ladress,Esther van Bezooijen (ceo),geverifieerd-bevinding
Lekker Bikes,lekkerbikes.com,6,mobiliteit,Op de servicepagina staat een toegezegde reactietijd: within 24 hours. De site voert 13 taal- en marktvarianten.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe vaak die within 24 hours in het hoogseizoen nog gehaald wordt.,"Er komt een merk, land of kanaal bij",klantenservicepagina lekkerbikes.com,17 augustus 2026,"Bron: klantenservicepagina lekkerbikes.com, gecontroleerd 17 augustus 2026",freshdesk,46,13,https://lekkerbikes.com/pages/about-us,,,,geverifieerd-bevinding
Catwalk Junkie,catwalkjunkie.com,7,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur. De site voert 40 taal- en marktvarianten. De productfeed telt 613 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina catwalkjunkie.com,17 augustus 2026,"Bron: klantenservicepagina catwalkjunkie.com, gecontroleerd 17 augustus 2026",,613,40,,https://catwalkjunkie.com/pages/jobs-headoffice,https://www.linkedin.com/company/u-s-p-fashion-b-v-,,geverifieerd-bevinding
Colourful Rebel,colourfulrebel.com,10,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De site voert 33 taal- en marktvarianten. De productfeed telt 799 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina colourfulrebel.com,17 augustus 2026,"Bron: klantenservicepagina colourfulrebel.com, gecontroleerd 17 augustus 2026",,799,33,,,,,geverifieerd-bevinding
Poederbaas,poederbaas.com,11,sport-wintersport,De site voert 54 taal- en marktvarianten. De productfeed telt 510 artikelen.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.",Ik was benieuwd hoe jullie 54 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina poederbaas.com,17 augustus 2026,"Bron: klantenservicepagina poederbaas.com, gecontroleerd 17 augustus 2026",,510,54,https://poederbaas.com/pages/about-us,,https://www.linkedin.com/company/3156424,,geverifieerd-bevinding
Cosmeau,cosmeau.com,12,huishoud,"De klantenservice staat op de site als bereikbaar: Maandag tot vrijdag 10:00 tot 17:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina cosmeau.com,17 augustus 2026,"Bron: klantenservicepagina cosmeau.com, gecontroleerd 17 augustus 2026",crisp,126,4,https://cosmeau.com/pages/over-ons,https://cosmeau.com/pages/vacature-creative-growth-marketeer,,,geverifieerd-bevinding
Zenggi,zenggi.com,13,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina zenggi.com,17 augustus 2026,"Bron: klantenservicepagina zenggi.com, gecontroleerd 17 augustus 2026",,487,5,https://zenggi.com/pages/about-us,,,,geverifieerd-bevinding
