bedrijf,voornaam,email,email_alt,email_status,observatie,lp_url,gescand,opvolg_status
"CBD-producten.nl","Stephan","info@cbd-producten.nl","info@cbd-producten.nl","geverifieerd-generiek","hoe je die belofte van persoonlijke hulp zonder standaardantwoorden waarmaakt nu het volume groeit","https://intro-pique.agency/bcs3/cbd-productennl","ja",""
"VitaCura","Gert","info@vitacura.nl","info@vitacura.nl","geverifieerd-generiek","wie de mail erbij pakt als er iets misgaat, nu je de artikelen en de service nog zelf doet","https://intro-pique.agency/bcs3/vitacura","ja",""
"MUZE Skincare","Liesbeth","info@muze-skincare.nl","info@muze-skincare.nl","geverifieerd-generiek","wat er met de inbox gebeurt elke keer dat je ergens als Koffietijd langskomt, met inmiddels 48 producten","https://intro-pique.agency/bcs3/muze-skincare","ja",""
"Little Roastery","Gijs","info@littleroastery.nl","info@littleroastery.nl","geverifieerd-generiek","hoe elke bestelling z'n mail meebrengt nu je van een pan naar een eigen branderij en winkel bent gegroeid","https://intro-pique.agency/bcs3/little-roastery","ja",""
"Bonne Suits","Bonne","info@bonnelife.com","support@bonnelife.com","geverifieerd-generiek","hoe het klantcontact meebeweegt nu je van de seven-day-suit naar volwaardige collecties bent gegaan","https://intro-pique.agency/bcs3/bonne-suits","ja",""
"Stricters","Jaron","info@stricters.com","info@stricters.com","geverifieerd-generiek","hoe je twee heel verschillende klanten tegelijk bedient, de losse koper en het bedrijf dat vijftig stuks met eigen print wil","https://intro-pique.agency/bcs3/stricters","ja",""
"Soque","Saskia","connect@soque.com","klantenservice@soque.nl","geverifieerd-generiek","hoeveel heen-en-weer er per klant in zit, van gratis ontwerp tot proefpaar tot de logo-akkoorden","https://intro-pique.agency/bcs3/soque","ja",""
"Gftd Jewelry","Bo","info@gftdjewelry.be","info@gftdjewelry.be","patroon-afgeleid","hoe het gevoeligste klantcontact aan jou blijft hangen terwijl je bij Van Ranst een team van tien aanstuurt","https://intro-pique.agency/bcs3/gftd-jewelry","ja",""
"Blij Design","Remco","info@blijdesign.nl","info@blijdesign.nl","geverifieerd-generiek","hoe vijf man ontwerpt, bouwt en tegelijk de klanten te woord staat, elke lamp met de hand","https://intro-pique.agency/bcs3/blij-design","ja",""
"Florèz","Marilène","contact@florez.nl","contact@florez.nl","geverifieerd-generiek","hoe dat persoonlijke gevoel dat jullie verkopen ook terugkomt in het klantcontact zodra er een maat- of retourvraag is","https://intro-pique.agency/bcs2/florez","ja",""
