"﻿""Prospect""","Website","Bezwaar (trigger)","Landingspagina","Brieftekst","Notitie","Beslisser_naam","Beslisser_functie","Straat","Postcode","Stad","Land","Bron","Adres_notitie"
"Studio Anneloes","studioanneloes.com","Open CS-vacature + klachten over trage communicatie in 4.000+ reviews","intro-pique.agency/bcs/studio-anneloes","Beste Anneloes,

Studio Anneloes heeft ruim 4.000 Trustpilot-reviews. In een deel daarvan schrijven klanten dat ze dagen wachten op bericht over een vermist pakket. Ondertussen staat er een vacature open voor een Customer Support Specialist.

Dat zijn twee dingen tegelijk.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/studio-anneloes

Groet,
Jeffrey
","","Anneloes van der Heijden","Oprichter / Creatief Directeur","Maroastraat 77","1060 LG","Amsterdam","Nederland","KVK",""
"Komrads","komrads.eu","Gebroken retourproces: onbeantwoorde mails, terugbetaling blijft uit na 10+ dagen","intro-pique.agency/bcs/komrads","Beste Mark,

Jullie reviews staan al weken open. Klanten wachten op geld terug - soms tien, soms twintig dagen. De mails blijven onbeantwoord. Dat is gewoon zichtbaar voor iedereen die even zoekt.

Ik weet niet wat er intern speelt.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/komrads

Groet,
Jeffrey
","","Mark Vandevelde","Co-founder","Gentsesteenweg 64","1730","Asse","België","KBO","LET OP: mogelijk gerechtelijke ontbinding (Staatsbladmonitor). Website nu komrads.world."
"Essenza Home","essenza-home.com","Trustpilot 3/5 + 5 dagen wachttijd, CS door stagiairs","intro-pique.agency/bcs/essenza-home","Beste Roeland,

Jullie Trustpilot staat op een 3. Niet door het product - de klachten gaan over wachttijden. Vijf dagen voor een reactie. En dan een stagiair die het oppakt.

Mensen die beddengoed van 200 euro kopen, verwachten iets anders.

Niet elke afspraak hoeft door sales gedaan te worden. Maar sommige wel.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/essenza-home

Groet,
Jeffrey
","","Roeland Smits","Directeur / Eigenaar","Rumpsterweg 2","3981 AK","Bunnik","Nederland","KVK",""
"vtwonen shop","vtwonen.nl","Trustpilot 2,8 + 20 min wachttijd, CS via wisselende uitzendkrachten","intro-pique.agency/bcs/vtwonen","Beste Koen,

Jullie staan op 2,8 op Trustpilot. Twintig minuten wachttijd. Wisselende gezichten aan de telefoon die het verschil niet kennen tussen een vtwonen-kussen en een IKEA-kussen.

Dat terwijl het merk op DPG-niveau wordt gepromoot.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/vtwonen

Groet,
Jeffrey
","","Koen Crijns","Adjunct-directeur DPG Media","Van der Madeweg 40","1114 AM","Amsterdam-Duivendrecht","Nederland","KVK","Geen zelfstandig bedrijf — onderdeel van DPG Media. Directeur marketplace: Annelies Boonstra."
"Women’s Best NL","womensbest.com","WhatsApp-only CS voor NL, berichten onbeantwoord, geen lokale laag","intro-pique.agency/bcs/womensbest","Beste David,

Jullie WhatsApp-berichten van Nederlandse klanten staan al een tijdje onbeantwoord. Ik heb er een paar gevolgd. Het Oostenrijkse hoofdkantoor reageert niet lokaal. Dat merken mensen.

Er is geen Nederlandse laag tussen jullie merk en die klant.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/womensbest

Groet,
Jeffrey
","","David Kurzmann","Co-Founder & CEO","Römerstraße 18","6065","Thaur","Oostenrijk","website","Geen NL-entiteit. Oostenrijks bedrijf. Co-founders: David Kurzmann, Lukas Kurzmann, Thomas Mark."
"Foodspring NL","foodspring.nl","Trustpilot 2,5 + NL-nummer komt uit in DE, 8 weken geen reactie op retour","intro-pique.agency/bcs/foodspring","Beste Christian,

Jullie NL-nummer verbindt door naar Duitsland. Een retour wacht al acht weken op afhandeling. Op Trustpilot staat jullie op 2,5.

Ik weet niet of de NL-markt nog actief is. Maar als dat zo is, dan zijn dit de dingen die klanten zien voordat ze iets kopen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/foodspring

Groet,
Jeffrey
","","Christian Bubenheim","CEO","Lobeckstraße 30-35","10969","Berlin","Duitsland","Handelsregister","LET OP: NL-markt gesloten dec 2022. Activiteiten gestopt juni 2025. Eigendom Mars Inc."
"Fabienne Chapot","fabiennechapot.com","Trustpilot meldt ‘reageert niet op negatieve reviews’ bij 3.200+ reviews","intro-pique.agency/bcs/fabienne-chapot","Beste Fabienne,

Op Trustpilot staat naast jullie merknaam een label: 'reageert niet op negatieve reviews'. Niet ergens verstopt. Gewoon zichtbaar. Voor iedereen die jullie opzoekt.

3200+ reviews. Dat label staat er al een tijdje.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/fabienne-chapot

Groet,
Jeffrey
","","Fabienne Chapot","Founder & CEO","Herengracht 479","1017 BS","Amsterdam","Nederland","KVK",""
"Kings of Indigo","kingsofindigo.com","Doorstart na faillissement + kapot retourproces, mails onbeantwoord","intro-pique.agency/bcs/kings-of-indigo","Beste Sebastian,

Een van mijn contacten noemde jullie naam. Ik heb even rondgekeken.

December 2022, doorstart. Sindsdien blijven mails onbeantwoord en staan terugbetalingen stil. Dat valt op - ook van buitenaf.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/kings-of-indigo

Groet,
Jeffrey
","Jeffrey-referentie beschikbaar als extra opener.","Sebastian Proft","Eigenaar / DGA","Krijn Taconiskade 440","1087 HW","Amsterdam","Nederland","KVK","Originele oprichter Tony Tonnaer; failliet 2022, overgenomen door Sebastian & Kathrin Proft dec 2022."
"MUD Jeans","mudjeans.eu","CEO erkent publiek dat AI-bot faalt bij lease-vragen","intro-pique.agency/bcs/mud-jeans","Beste Dion,

Jullie AI-bot weet niet wat hij moet zeggen als iemand vraagt wat er gebeurt met de jeans na retour. Dat staat nergens in één zin.

Niet gek. Het lease-model is ingewikkelder dan de meeste webshops gewend zijn. Een bot die dan afhaakt, stuurt mensen weg op het moment dat ze eigenlijk net nieuwsgierig zijn.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/mud-jeans

Groet,
Jeffrey
","","Bert van Son","Founder (huidig CEO: Dion Vijgeboom)","Amersfoortsestraatweg 117","1251 AV","Laren","Nederland","KVK","Adres gecorrigeerd: Laren, niet Weesp."
"JOSH V","joshv.com","Trustpilot 3,9 + trage verzending ondanks same-day belofte, snelle groei","intro-pique.agency/bcs/josh-v","Beste Marie-José,

Josh gaf de CEO-rol over in maart. Sindsdien staat er een 3,9 op Trustpilot. Klanten schrijven over same-day beloftes die niet uitkomen.

Dat zijn de dingen die nieuwe klanten lezen voordat ze beslissen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/josh-v

Groet,
Jeffrey
","","Josh Veldhuizen","Founder (CEO per maart 2026: Marie-José Vermin)","Keienbergweg 44","1101 GC","Amsterdam","Nederland","KVK",""
