score,bedrijf,domein,vacature,vacature_datum,plaats,producten,markten,cs_tools,review_tools,reviewscore,reviewoordeel,openingstijden,reactiebelofte,email,telefoon,kvk,postcode,signalen,vacature_url,klasse,klassereden
19,Cloudpillo,cloudpillo.com,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,19,12,gorgias,trustpilot|trustedshops,4.5,sterk,Ma–vr 10:00–16:00,binnen 1 uur,support@cloudpillo.nl,+31 73 704 4350,,5232 BX,Shopify; betaalt voor gorgias; 12 markten; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 1 uur; zoekt klantcontact: Klantenservice Medewerker - Duits / Enge; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,A,
15,BOSKA Food Tools,boska.com,Medewerker klantenservice,2026-09-14,Bodegraven,379,5,,judgeme,,,maandag t/m vrijdag van 08.30 - 17.00,binnen 48 uur,support@boska.com,010-4265331,,,Shopify; 379 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 48 uur; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,A,
14,Satechi,satechi.com,Order Fulfillment Specialist,2026-08-24,Nederland,141,3,hubspot,trustpilot,,,,,,,,,Shopify; betaalt voor hubspot; 141 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Order Fulfillment Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/order-fulfillment-specialist-at-satechi-4458531021,A,
14,STOX Energy Socks,stoxenergy.com,Customer Service Specialist,2026-09-04,Amsterdam,246,23,whatsapp,trustpilot|trustedshops,,,,,support@stoxenergy.com,,,1076DE,Shopify; 23 markten; 246 artikelen; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,A,
13,Paul Roescher,paulroescher.nl,Medewerker Service Desk,2026-08-05,Rijssen,951,,,klantenvertellen,,,,Binnen 2 werkdagen,info@paulroescher.nl,055 360 1747,,,Shopify; 951 artikelen; eigen reviewplatform; belofte: Binnen 2 werkdagen; zoekt klantcontact: Medewerker Service Desk; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-service-desk-at-paul-roescher-4448995292,A,
13,Zitmaxx Wonen,zitmaxx.nl,Klantenservice Medewerker,2026-07-09,Ter Aar,,,tawk|whatsapp,trustpilot,,,Maandag 09:30-17:30,,verkoop@zitmaxx.nl,0467555605,59200359,2461 EX,magento; betaalt voor tawk; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-zitmaxx-wonen-4438588826,A,
12,Giga Meubel,gigameubel.nl,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,,,whatsapp,kiyoh,8.6,sterk,Maandag 13:00-17:30,binnen 24 uur,info@gigameubel.nl,00 0358796,,3824 MJ,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur; zoekt klantcontact: Klantenservice medewerker 32-40 uur; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,A,
11,123inkt.nl,123inkt.nl,Klantenservice Medewerker,2026-09-16,Veenendaal,,3,freshdesk,kiyoh,9.3,sterk,maandag (voor 23:59 uur) dinsdag dinsdag (voor 23:59,,klantenservice@123inkt.nl,,,1394 PC,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,A,
11,123schoon.nl,123schoon.nl,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,,,freshdesk,kiyoh,9.1,sterk,,,info@123schoon.nl,,,1329 AK,betaalt voor freshdesk; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Klantenservice Medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,A,
11,DeJong Cheese - Alphenaer,dejongcheese.nl,Medewerker Customer Service met een focus op planning en/of inkoop (40 uur),2026-07-21,Alphen,,4,hubspot,,,,,,info@dejongcheese.nl,,18049181,5131 RC,woocommerce; betaalt voor hubspot; b2b naast d2c; geen telefoonlijn gevonden; zoekt klantcontact: Medewerker Customer Service met een focu; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-customer-service-met-een-focus-op-planning-en-of-inkoop-40-uur-at-dejong-cheese-alphenaer-4440454450,A,
11,Goldbergh,goldbergh.com,Email &amp; CRM Marketeer,2026-08-27,Amsterdam,249,13,gorgias,trustpilot,,,,,webshop@goldbergh.com,,,,Shopify; betaalt voor gorgias; 13 markten; 249 artikelen; eigen reviewplatform; b2b naast d2c; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/email-crm-marketeer-at-goldbergh-4459803918,A,
11,Zelesta,zelesta.nl,E-commerce Specialist,2026-09-21,Soesterberg,768,27,,trustpilot|judgeme,,,Ma-Vr | 09:00-17:30,binnen 24 uur,info@zelesta.nl,+31 10 793 4008,,,Shopify; 27 markten; 768 artikelen; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,A,
10,Ledhandel24.nl,ledhandel24.nl,Klantenservice medewerker (24 uur),2026-08-05,Ter Apel,,,,trustedshops,,,maandag t/m vrijdag van 9.00-12.00,,,+31611204496,,3026GS,woocommerce; eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Klantenservice medewerker (24 uur); vacature staat nog open,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-24-uur-at-ledhandel24-nl-4449477460,A,
10,Impermo,impermo.nl,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",,6,,trustpilot,,,,,,,,,6 markten; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Care Professional; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,A,
10,Zero Friction,zerofriction.com,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",64,,,judgeme,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden; zoekt klantcontact: Customer Service and Operations Agent NL; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,A,
9,Onlineverf.nl,onlineverf.nl,Medewerker klantenservice,2026-09-11,Hengelo,,3,whatsapp,trustpilot|trustedshops,,,Maandag t/m vrijdag: 09:30 - 17:00,,klantenservice@onlineverf.nl,085-112 02 02,,,eigen reviewplatform; desk dicht voor de avond; zoekt klantcontact: Medewerker klantenservice; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,A,
8,CAVALLARO NAPOLI,cavallaronapoli.com,Online Merchandiser,2026-09-08,Haarlem,,5,intercom|whatsapp,trustedshops,,,Maandag t/m Vrijdag van 09:00 - 17:00,binnen 2 uur,,0159126614,,1071 BM,magento; betaalt voor intercom; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur,https://nl.linkedin.com/jobs/view/online-merchandiser-at-cavallaro-napoli-4452705820,A,
8,Proforto®,proforto.nl,Logistiek Medewerker bij Proforto,2026-06-23,Oosterhout,,3,trengo|whatsapp,trustpilot|yotpo,,,Maandag tot en met donderdag van 09:00 tot 22:00,binnen 24 uur,klantenservice@proforto.nl,+31 24 808 2166,62922351,6541CW,magento; betaalt voor trengo; eigen reviewplatform; vierdaagse week; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/logistiek-medewerker-bij-proforto-at-proforto%C2%AE-4431235377,A,
8,Drunens Ruiterhuis,drunensruiterhuis.nl,Allround Klantenservice &amp; Administratie medewerker bij Drunens Ruiterhuis - fulltime,2026-09-22,Drunen,,,whatsapp,kiyoh,,,"Maandag: Gesloten, Dinsdag 09:00u - 18:00",,,+31 650291326,18130789,2026 HV,magento; eigen reviewplatform; zoekt klantcontact: Allround Klantenservice &amp; Administra; vacature staat nog open,https://nl.linkedin.com/jobs/view/allround-klantenservice-administratie-medewerker-bij-drunens-ruiterhuis-fulltime-at-drunens-ruiterhuis-4470418764,A,
7,Cartouche Fashion,cartouchefashion.com,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,Bodegraven,300,8,,,,,,binnen 2 werkdagen,webshop@cartouchefashion.com,,,,Shopify; 8 markten; 300 artikelen; belofte: binnen 2 werkdagen; geen telefoonlijn gevonden,,A,
7,Baktotaal,baktotaal.nl,Online marketeer Duits,2026-09-11,Goor,,8,,feedbackcompany,,,maandag t/m vrijdag van 09:00 tot 16:30,,,,54072905,7472 DD,magento; 8 markten; eigen reviewplatform; b2b naast d2c; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,A,
7,Dutch Jerky,dutchjerky.com,Customer &amp; Content Guru,2026-09-18,Mierlo,,,klaviyo-chat,trustpilot,9.6,sterk,ma-za 10:00-17:00,,info@dutchjerky.com,,94108722,6981 DL,woocommerce; betaalt voor klaviyo-chat; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/customer-content-guru-at-dutch-jerky-4467862824,A,
7,O My Bag Amsterdam,omybagamsterdam.com,Operations Lead,2026-09-09,Amsterdam,519,9,,judgeme|yotpo,,,,,,,69094527,1072 GA,Shopify; 9 markten; 519 artikelen; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/operations-lead-at-o-my-bag-amsterdam-4464991556,A,
7,Snackpilot,snackpilot.nl,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,Nederland,65,183,zendesk,,,,,,,,,,Shopify; betaalt voor zendesk; 183 markten; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/sales-representative-m-f-d-full-time-or-part-time-remote-at-snackpilot-4456505809,A,
6,Hart Beach,hartbeach.nl,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,249,4,zendesk,kiyoh,,,Maandag: 12:00 - 18:00,,shop@hartbeach.nl,070-3502591,,2583 DL,Shopify; betaalt voor zendesk; 249 artikelen; eigen reviewplatform,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,A,
6,BONO,bono.nl,Media Buyer (META) | Paid Social Specialist,2026-08-31,Amsterdam Area,,,intercom,trustedshops,4.86582,sterk,,,,,74636391,1511MA,Shopify; betaalt voor intercom; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,A,
6,Detailrs,detailrs.nl,E-commerce &amp; UX Lead,2026-08-31,Oss,87,3,,trustpilot|judgeme,4.8,sterk,Ma-Vrij 09:00-17:00,binnen 24 uur,hello@detailrs.nl,085 800 0647,,,Shopify; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/e-commerce-ux-lead-at-detailrs-4434440735,A,
6,Eve Curls,evecurls.nl,COO Fast Growing DTC/CPG Brand,2026-09-21,Nederland,15,33,,trustpilot,,,,,support@evecurls.com,,,,Shopify; 33 markten; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,A,
6,Superyoga,superyoga.nl,Social Media &amp; Performance Marketeer,2026-09-01,Amstelveen,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,9.6,sterk,,binnen 24 uur,,,95427309,1181NB,betaalt voor chatgpt-bot; eigen reviewplatform; belofte: binnen 24 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/social-media-performance-marketeer-at-superyoga-4461705564,A,
6,Heinen Delfts Blauw,heinendelftsblauw.nl,Marketing manager,2026-08-06,Putten,,,hubspot,yotpo,,,,Binnen 48 uur,,,70420742,3881 LB,betaalt voor hubspot; eigen reviewplatform; belofte: Binnen 48 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketing-manager-at-heinen-delfts-blauw-4450266759,A,
5,Tegeltje.nl,tegeltje.nl,Sales medewerker B2B (24-40 uur),2026-09-18,Bodegraven,,,helpscout,,,,,binnen 24 uur,,085-2129259,58276270,2411 PV,woocommerce; betaalt voor helpscout; b2b naast d2c; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/sales-medewerker-b2b-24-40-uur-at-tegeltje-nl-4469197217,A,
5,waterdrop®,waterdrop.nl,Sales Assistant - Hydrista (w/m/d),2026-08-28,Roermond,163,41,,,,,,,,,,7697AC,Shopify; 41 markten; 163 artikelen; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/sales-assistant-hydrista-w-m-d-at-waterdrop%C2%AE-4455346916,A,
5,Infento,infento.com,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,Amsterdam,,6,,trustpilot,,,,binnen 1 werkdag,support@infento.com,+31 20 261 64 50,,,woocommerce; 6 markten; eigen reviewplatform; belofte: binnen 1 werkdag,https://nl.linkedin.com/jobs/view/%E2%9D%A4%EF%B8%8F%E2%9C%A8-online-marketeer-growth-hacker-for-world-s-coolest-toy-company%21-%F0%9F%9B%B4%F0%9F%9A%80-at-infento-4399005602,A,
5,Voomy,voomy.com,E-commerce manager,2026-07-30,Capelle aan den IJssel,133,,,judgeme|trustedshops,,,maandag tot en met vrijdag van 9.00 tot 17.00,,support@voomy.nl,+31 85 130 14 59,,,Shopify; 133 artikelen; eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-voomy-4447036033,A,
5,PeterPrint,peterprint.nl,Tech Lead (lead developer),2026-09-15,Groningen,,2,,feedbackcompany,9.5,sterk,maandag tot en met vrijdag van 08:30 tot 17:00,binnen 2 uur,info@peterprint.nl,06 237 54 50,,,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur,https://nl.linkedin.com/jobs/view/tech-lead-lead-developer-at-peterprint-4465258198,A,
4,Amacx Sports Nutrition,amacx.com,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,96,,,judgeme,,,Ma-Vrij: 9:00 - 17:00,,info@amacx.com,+31 71 737 0031,,2201 CW,Shopify; eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,A,
4,Icetubs,icetubs.com,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,,1,hubspot|whatsapp,trustpilot,,,,,,,,,betaalt voor hubspot; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,A,
4,Fine Dining & Living,finediningandliving.eu,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",,4,,,,,,,,+3214242900,,,magento; te weinig volumebewijs voor de band; b2b naast d2c; zoekt klantcontact: Customer Service Medewerker; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,A,
4,Dwelly,dwelly.nl,CRM &amp; Email Marketing Manager,2026-08-15,Nederland,177,4,,judgeme,,,,,hello@dwelly.nl,,,,Shopify; 177 artikelen; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/crm-email-marketing-manager-at-dwelly-4465316586,A,
4,Greetz,greetz.nl,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),2026-09-07,Almere,,,intercom|hubspot,trustpilot,,,,,,,,,betaalt voor intercom/hubspot; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/brand-campaign-marketer-dutch-english-speaking-at-greetz-4453466063,A,
3,Foxelli Group,foxelli.com,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,Amsterdam Area,61,,,loox,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/email-marketing-specialist-dtc-e-commerce-100%25-remote-eu-at-foxelli-group-4447525692,A,
3,Vedder & Vedder,vedder-vedder.nl,E-Commerce Merchandiser,2026-09-20,Amsterdam,,4,,trustedshops,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/e-commerce-merchandiser-at-vedder-vedder-4467318309,A,
1,Inktweb.nl,inktweb.nl,Customer Support,2026-08-07,Alkmaar,,3,,feedbackcompany,4.4,sterk,,,,,,1821 BT,eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,A,
1,Interieurwereld van de Belt,interieurwereld.nl,Verkoopmedewerker diverse afdelingen,2026-09-21,Meppel,,,whatsapp,feedbackcompany,,,Ma Di Wo Do Vr Za Zo 13:00 - 18:00,,,088 111 0580,04032571,7949AR,magento; eigen reviewplatform,https://nl.linkedin.com/jobs/view/verkoopmedewerker-diverse-afdelingen-at-interieurwereld-van-de-belt-4468770119,A,
1,MARC INBANE® Official,marcinbane.com,E-commerce Manager,2026-08-24,Tilburg,,,,trustpilot,,,,,netherlands@marcinbane.com,0136142230,55513603,5048 AA,eigen reviewplatform; b2b naast d2c,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-marc-inbane-b-v-4456893823,A,
1,Van Leersum Dranken,vanleersumdranken.nl,Magazijnmedewerker in Den Haag,2026-05-26,Den Haag,,,,,,,maandag t/m donderdag 08:30-17:30,,info@vanleersumdranken.nl,070 355 06 93,,2491 DK,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond; vierdaagse week,https://nl.linkedin.com/jobs/view/magazijnmedewerker-in-den-haag-at-van-leersum-dranken-4419197455,A,
