bedrijf,naam,rol,naam_status,adres,postcode,plaats,kvk,herkomst,adres_bevestigd,naam_bevestigd,klasse,adres_oordeel
10DAYS,Barbara Hilbrink,mede-oprichter,geverifieerd,Cornelis Schuytstraat 18 H,1071JJ,Amsterdam,62578820,FashionUnited en Talkies. Myon Veenendaal is de andere oprichter,,,"B naam hard, registeradres",site noemt een ander adres
ANNA plus NINA,Anna De Lanoy Meijer,Owner,geverifieerd,Gerard Douplein 17,1073XE,Amsterdam,58057897,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Aaiko,Pauline Brakenhoff,oprichter / directeur,geverifieerd,Rigakade 20,1013BC,Amsterdam,62781723,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Ballin Amsterdam,Auke Aslan de Geus,oprichter,geverifieerd,Kalverstraat 136,1012XD,Amsterdam,33281895,VERDACHT: zelfde adres bij meerdere bedrijven,,,D verdacht adres,site noemt geen adres
Beaumont Amsterdam,,,pagina zonder naam,Lage Barakken 10,6221CJ,Maastricht,33281895,"adres van de eigen site, het register wees naar een ander bedrijf",adres van hun eigen contactpagina,,"C adres hard, kaart zonder aanhef",bevestigd
Bedrukken nl,,,pagina zonder naam,Kennedyplein 201,5611ZT,Eindhoven,81085508,"adres via naamzoekopdracht, verifieren",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Blackstone Shoes,Arjan Verweij,manager finance en operations,geverifieerd,Zuidpool 3,2801RW,Gouda,29004026,FashionUnited BE oktober 2024 over de vernieuwing van hun IT-landschap,eigen site plus register,,A alles dubbel bevestigd,bevestigd
Blond Amsterdam,Femque van Geffen en Janneke Droge,oprichters,geverifieerd,Bromostraat 24,1067TG,Amsterdam,50454110,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Born Sportscare,,,,Kampstraat 60,6163HG,Geleen,14080927,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",,,D afgekeurd in Fase B,site noemt geen adres
Buddha to Buddha,Jacco Tas,CEO sinds april 2020,geverifieerd,Pilotenstraat 34,1059CJ,Amsterdam,34116895,MarketingTribune plus hun eigen pagina Wie wij zijn. Oprichter is Batul Loomans,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Butcher of Blue,Bob Rijnders en Maarten Rijnders,"oprichters, neven, sinds 2017",geverifieerd,Soesterweg 310 A,3812BH,Amersfoort,70648115,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
CLUSE,Rudyard Bekker,oprichter en CEO,geverifieerd,Danzigerkade 16 E,1013AP,Amsterdam,64987655,Tracxn en EW Magazine. 64 medewerkers per april 2026. Rechtspersoon Europe Watch Group BV,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
CanvasCompany,Halbe Boersma,oprichter en directeur,geverifieerd,Jumaweg 4,9291NA,Kollum,52568865,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Carnibest,,,,Harderwijkerweg 134C,3852AH,Ermelo,52619397,"API, nog te toetsen; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,"C adres hard, kaart zonder aanhef",bevestigd
Casimoda,,,,Monnikenpad 1,5505KR,Veldhoven,57980586,"pagina zonder naam+API, nog te toetsen",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Catwalk Junkie,"Ben van 't Veld (directeur/eigenaar U.S.P. Fashion) en Marieke Willemars (oprichter, creative director)",directeur en creative director,geverifieerd,Asterweg 73,1031HM,Amsterdam,67253253,"geverifieerd; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Cellcare,,,pagina zonder naam,Hoger Einde-Zuid 21,1191AH,Ouderkerk aan de Amstel,95024999,VERDACHT: Belgisch bedrijf met een Nederlands adres,,,D verdacht adres,site noemt geen adres
Circle of Trust,Danny De Winter,mede-oprichter,"API, nog te toetsen",Godebaldkwartier 54,3511DX,Utrecht,30128837,Bedrijfsdata,,,B naam en adres uit een bron,site noemt geen adres
Colourful Rebel,"Frank en Bas van de Brug, met Oscar Kemps",oprichters,geverifieerd,Wibautstraat 135,1097DN,Amsterdam,63392976,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Confirm Clothing,,,pagina zonder naam,Wiebachstraat 9,6466NG,Kerkrade,66515874,"adres via naamzoekopdracht, verifieren",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Difrax,Corinne Sasse,Managing Director,"API, nog te toetsen",Rembrandtlaan 42,3723BK,Bilthoven,51663872,"API, nog te toetsen",,,B naam en adres uit een bron,site noemt geen adres
Dirkje,,,,Celsiusstraat 2,6003DG,Weert,17092838,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",postcode op de eigen site,,D afgekeurd in Fase B,bevestigd
Dogs Companion,,,pagina zonder naam,Minervum 7382,4817ZH,Breda,67111122,"adres van de eigen site, het register wees naar een ander bedrijf",adres van hun eigen contactpagina,,"C adres hard, kaart zonder aanhef",bevestigd
Eyelove Brillen,,,pagina zonder naam,Bredaseweg 100,5038NJ,Tilburg,18043629,"API gaf een franchisenemer, niet de beslisser van de formule",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Feetje,,,pagina zonder naam,Laagsteen 15a,4815PH,BREDA,66466156,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",adres van hun eigen contactpagina,,D afgekeurd in Fase B,bevestigd
Fifth House,Renée Kraaijvanger,Modeontwerper,"API, nog te toetsen",IJweg 961,2131LV,Hoofddorp,57015678,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",,,D afgekeurd in Fase B,site noemt geen adres
Fitchef,Mark van Oosterwijck,oprichter,geverifieerd,Cimburgalaan 2,4819BC,Breda,76435008,geverifieerd,,achternaam op de eigen site,"B naam hard, registeradres",site noemt geen adres
Flinndal,Robert Cornelisse,operationeel directeur,geverifieerd,Oerkapkade 5,2031EN,Haarlem,34195553,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Floer,Lennart Groenewold,oprichter,geverifieerd,Protonstraat 18,9743AL,Groningen,68335555,"eigen research: oprichter met broer Matthijs sinds 2016, Groningen",postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Foto op Hout,Halbe Boersma,oprichter en directeur,geverifieerd,Jumaweg 4,9291NA,Kollum,85044431,"adres van de eigen site, het register wees naar een ander bedrijf",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Fotofabriek,Stephan de Vries,algemeen directeur en eigenaar,geverifieerd,Osloweg 45,9723BH,Groningen,01138465,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Fred de la Bretoniere,Dennis Mok (CEO) en Mayra Krishnadath (CFO),directie,geverifieerd,James Wattlaan 7,5151DP,Drunen,74328301,"API, nog te toetsen; uit eigen Fase B-dossier",postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Fresh n Rebel,Bas De Wilde,Ceo,"API, nog te toetsen",Linatebaan 101,3045AH,Rotterdam,65972910,"API, nog te toetsen",,,B naam en adres uit een bron,site noemt geen adres
Fromanteel,Alfredo Silva,mede-oprichter,geverifieerd,Herengracht 142,1015BW,Amsterdam,56831064,"Marketingfacts, Baaz en Villa d'Arte. Martijn van Hassel vertrok in 2023",,,"B naam hard, registeradres",site noemt geen adres
Greve Shoes,Jos Jan Greve,vierde generatie familiebedrijf,geverifieerd,Zanddonkweg 1,5144NX,Waalwijk,18065123,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Grutto,Yvo van Rijen en Berend te Voortwis,oprichters,geverifieerd,Hoogstraat 23,1391BR,Abcoude,58587950,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Horren Direct,,,pagina zonder naam,Sir Winston Churchilllaan 231 a,2282JS,Rijswijk,86812173,"adres via naamzoekopdracht, verifieren",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Jane Lushka,Jane en Lushka Iskroff,eigenaren,geverifieerd,Hoogbrugstraat 4,6221CR,Maastricht,67467008,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Just Franky,Anne en Esther Vedder,"oprichters, tweelingzussen",geverifieerd,Dierenriemstraat 108 a,9742AK,Groningen,56652526,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Komono,Lonneke Mai,Store Manager at,"API, nog te toetsen",Leidsestraat 19,1017NT,Amsterdam,70104964,"API, nog te toetsen",,,B naam en adres uit een bron,site noemt geen adres
Kraamcadeau,Ivo,oprichter,"API, nog te toetsen",Tamboerijn 10,3438CJ,Nieuwegein,73939358,eigen site: de webshop werd opgericht door Ivo. Achternaam nog nodig,,,B naam en adres uit een bron,site noemt geen adres
LaDress,Simone van Trojen,oprichter / mede-eigenaar,geverifieerd,De Lairessestraat 109,1071NX,Amsterdam,34247773,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Lekker Bikes,Meindert Wolfraad (oprichter) en Niels Bark (CEO Europe BV),oprichter en CEO,geverifieerd,Tweede Kostverlorenkade 68,1053SB,Amsterdam,60449055,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
LingaDore,Brenda Mendels,eigenaar,geverifieerd,Helmkamp 46 F,7091HR,Dinxperlo,09086984,Bedrijfsdata plus bevestigd op hun eigen site,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Little Thingz,,,pagina zonder naam,Karel Doormanweg 41,3115JD,Schiedam,61971448,VERDACHT: Belgisch bedrijf met een Nederlands adres,,,D verdacht adres,site noemt geen adres
Loavies,Anna Meilink,mede-oprichter,geverifieerd,Ceintuurbaan 16,8024AA,Zwolle,68888961,"RetailTrends en Textilia noemen Anna Meilink, Ben Meilink en Jorn van Klooster als oprichters",,,"B naam hard, registeradres",site noemt geen adres
LouLou Essentiels,Floor van de Water,oprichter en ontwerper,geverifieerd,Datheenstraat 57,2583BX,'s-Gravenhage,23081652,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
MAICAZZ,,,,Jollesweg 9,7602CZ,Almelo,64694909,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",,,D afgekeurd in Fase B,site noemt geen adres
Malelions,Thijs Offermeijer,Oprichter En Eigenaar,geverifieerd,de Rijn 8,5684PJ,Best,78645190,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Marlies Dekkers,Eppo van Berckelaer,CEO,"API, nog te toetsen",Schelmaatstraat 9,7575BC,Oldenzaal,58573089,benoemd door Marlies Dekkers en investeerder Karmijn Kapitaal,adres van hun eigen contactpagina,,"B naam uit een bron, adres hard",bevestigd
Matt Sleeps,,,pagina zonder naam,Hannie Dankbaarpassage 14,1053RT,Amsterdam,64147681,"Bedrijfsdata /companies op domein, BAG-id NL1053RT-14",register plus BAG,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Metis Supplements,Maxim Christiaen,CEO,geverifieerd,Jan Verbertlei 8,2650,Edegem,BE0684708845,"Belgisch register en Staatsblad, bevestigt de plaats uit mijn research",eigen site plus register,,A alles dubbel bevestigd,bevestigd
Muchachomalo,Dylan V,E-commerce Manager,"API, nog te toetsen",Gooiland 46 A,1948RD,Beverwijk,34104589,"pagina zonder naam+API, nog te toetsen",,,B naam en adres uit een bron,site noemt geen adres
Namens Mij,Steffie van der Wijst,mede-oprichter,geverifieerd,Biesthoek 1e,5427RG,Boekel,01099794,"eigen site noemt Steffie en Linda van der Wijst; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Natural Heroes,Nevil Hulspas,oprichter,geverifieerd,Rijnzathe 6,3454PV,De Meern,78112699,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
PLNTS,Jesse Mostert,oprichter en CEO,geverifieerd,2e Tochtweg 98,2913LS,Nieuwerkerk aan den IJssel,76981185,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
PersonalSurprise,Lindy Geurts,co-owner,"API, nog te toetsen",Hogenbos 14 Ruimte 12,5864CL,Meerlo,77963016,Bedrijfsdata. Past bij hun eigen tekst over een vrouwelijke oprichter,postcode op de eigen site,,"B naam uit een bron, adres hard",bevestigd
Pieter Pot,Jouri Schoemaker,oprichter en CEO,geverifieerd,Oude Binnenweg 113,3012JB,Rotterdam,76039110,"geverifieerd; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Podobrace,Bill Duin,oprichter,geverifieerd,Marconistraat 9,1131JW,Volendam,69003211,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Poederbaas,Wisse Mewiss,mede-eigenaar,geverifieerd,Corsicaweg 10,1044AB,Amsterdam,90481143,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Power Supplements,,,pagina zonder naam,Fahrenheitstraat 7,6662PZ,Elst Gld,30084656,"adres via naamzoekopdracht, verifieren; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,"C adres hard, kaart zonder aanhef",bevestigd
Printenbind,Bart van Diepen,oprichter en eigenaar,geverifieerd,Kabelweg 44A,1014BB,Amsterdam,67045596,geverifieerd; adres bevestigd door de eigen site,adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Purewhite,Ramzi Addarazi,oprichter,geverifieerd,Rosada 42,4703TB,Roosendaal,72588810,eigen research: Purewhite werd in 2008 door hem gestart,,,"B naam hard, registeradres",site noemt geen adres
Quapi Kidswear,,,pagina zonder naam,Korte Bisschopstraat 37,7411HJ,Deventer,72177349,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",,,D afgekeurd in Fase B,site noemt geen adres
Quotrell,Hans Peters,oprichter sinds 2018,geverifieerd,Gerard Noodtstraat 44,6511SX,Nijmegen,51398052,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Red-Rag,,,pagina zonder naam,Gompenstraat 11,5145RM,Waalwijk,18121767,"adres van red-rag.com/contact. Rechtspersoon P.J. Klerx en Zonen, KVK klopt met mijn eerdere scan",eigen site plus register,,"C adres hard, kaart zonder aanhef",bevestigd
Rehab Footwear,Jaco Flach,oprichter,geverifieerd,Verspycklaan 72 A,2671CS,Naaldwijk,92925650,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Rosefield,Christiaan Bekker,mede-oprichter en CEO,geverifieerd,H.J.E. Wenckebachweg 133,1096AM,Amsterdam,62124234,"Crunchbase en Creditsafe, Niels Verhoeven is COO",postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Sapph,Erik van der Maat,CEO sinds mei 2026,geverifieerd,Blaak 555,3011GB,Rotterdam,97493198,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
Seepje,Jasper Gabrielse en Melvin Loggies,"oprichters, stappen uit dagelijkse leiding",geverifieerd,Mauritskade 1,2514HC,'s-Gravenhage,65930452,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Shabbies Amsterdam,,,pagina zonder naam,Kalverstraat 136,1012XD,Amsterdam,33281895,VERDACHT: zelfde adres bij meerdere bedrijven,,,D verdacht adres,site noemt geen adres
Slaapkamerweb,Niek Demmers,algemeen directeur,"API, nog te toetsen",Loskade 4,7202CZ,Zutphen,69079692,Bedrijfsdata,postcode op de eigen site,,"B naam uit een bron, adres hard",bevestigd
Somnox,Julian Jagtenberg,oprichter en CEO,geverifieerd,Stationsplein 45 C3.063,3013AK,Rotterdam,67150179,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Sticky Lemon,Simone Karstkarel-Veldman,eigenaresse en creatief brein,geverifieerd,Rouaanstraat 8,9723CD,Groningen,28112036,"geverifieerd; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Studio Ins en Outs,,,pagina zonder naam,Frijdastraat 17,2288EX,Rijswijk,27334636,"adres via naamzoekopdracht, verifieren; naam niet gebruikt: bij dit bedrijf is de aanleiding juist een leidingwissel",,,"C adres hard, kaart zonder aanhef",site noemt geen adres
Summum Woman,"Jos Wijker (oprichter/eigenaar) en Lars Gelling (commercieel directeur, 18 jaar)",oprichter en commercieel directeur,geverifieerd,Gyroscoopweg 68,1042AC,Amsterdam,34120194,geverifieerd,postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Tafels op maat,,,pagina zonder naam,Dotterbloemstraat 20,3286VM,Klaaswaal,85044431,VERDACHT: zelfde adres bij meerdere bedrijven,,,D verdacht adres,site noemt geen adres
Tumble N Dry,Anouk Van Wouwe,Manager Operations,"API, nog te toetsen",Teleportboulevard 128 130,1043EJ,Amsterdam,87643189,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",postcode op de eigen site,,D afgekeurd in Fase B,bevestigd
Veneta,Dinno van Breugel,managing director,"API, nog te toetsen",Loggerweg 2,8042PG,Zwolle,52657841,"Bedrijfsdata, tweede bron nog nodig",,,B naam en adres uit een bron,site noemt geen adres
Violet Hamden,,,pagina zonder naam,Osloweg 105,9723BK,Groningen,16040235,"adres via naamzoekopdracht, verifieren; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,"C adres hard, kaart zonder aanhef",bevestigd
Wakuli,Yorick Bruins,mede-oprichter,geverifieerd,Stationsweg 168,2515BS,Den Haag,87295415,"geverifieerd; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Werk aan de Muur,Stephanie Kuijstermans,CEO sinds juli 2025,geverifieerd,Bingerweg 8,2031AZ,Haarlem,54387450,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Wolky,Floor Alblas,Marketing En E-commerce Manager,geverifieerd,Voorveste 15-B/C,3992DC,Houten,30082935,geverifieerd,,achternaam op de eigen site,"B naam hard, registeradres",site noemt geen adres
Wolplein,Petra Glimmerveen (oprichter/eigenaresse) en Koen Glimmerveen (dagelijkse leiding),oprichter en opvolger,geverifieerd,Doornepol 5,5301LV,Zaltbommel,53203755,geverifieerd,,,"B naam hard, registeradres",site noemt geen adres
Xtorm,Hans Both,Manager,geverifieerd,Hoofdveste 19,3992DH,Houten,30240475,"geverifieerd; adres van de eigen site, register wees elders",adres van hun eigen contactpagina,,A alles dubbel bevestigd,bevestigd
Yogisha,Dominique,oprichter,geverifieerd,Ceintuurbaan 306 H,1072GL,Amsterdam,74010131,"eigen over-ons. Alleen de voornaam bekend, en dat is genoeg voor de aanhef",postcode op de eigen site,,A alles dubbel bevestigd,bevestigd
Z8,Eline Onstenk,Online Marketeer,"API, nog te toetsen",Foeke Sjoerdswei 1,8914BH,Leeuwarden,50132636,"In Fase B afgekeurd: geen eigen reviewaanwezigheid, verkoop loopt via andermans winkel",,,D afgekeurd in Fase B,site noemt geen adres
Zenggi,Marian Wigger,oprichter,geverifieerd,Vliegtuigstraat 28,1059CL,Amsterdam,34227017,geverifieerd,postcode op de eigen site,achternaam op de eigen site,A alles dubbel bevestigd,bevestigd
